abbreviation	officialName	equation	geneAssociation	proteinClass	ecocyc-rxn-ids	analysis	notes			
UGLYCH	Ureidoglycolate hydrolase	[c] : (2) h + h2o + urdglyc --> co2 + glx + (2) nh4	b0505	3.5.3.19	(UREIDOGLYCOLATE-HYDROLASE-RXN)	((LEFT REMOVE PROTON) (RIGHT SUBSTITUTE AMMONIA AMMONIUM))				
GLYCLTDy	Glycolate dehydrogenase (NADP)	[c] : glx + h + nadph --> glyclt + nadp	( b1033  or  b3553 )	1.1.1.26	(|GLYOXYLATE-REDUCTASE-(NADP+)-RXN|)	((LEFT REMOVE PROTON))				
2DGLCNRy	2-dehydro-D-gluconate reductase (NADPH)	[c] : 2dhglcn + h + nadph --> glcn + nadp	b3553	1.1.1.215	(1.1.1.215-RXN)	((LEFT REMOVE PROTON))				
DKGLCNR1	"2,5-diketo-D-gluconate reductase"	[c] : 25dkglcn + h + nadph --> 2dhguln + nadp	( b0207  or  b3012 )		(1.1.1.274-RXN)	((LEFT REMOVE PROTON))				
NMNAT	nicotinamide-nucleotide adenylyltransferase	[c] : atp + h + nmn --> nad + ppi	( b0639  or  b4390 )	2.7.7.1	(2.7.7.1-RXN)	((LEFT REMOVE PROTON))				
MEPCT	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	[c] : 2me4p + ctp + h --> 4c2me + ppi	b2747		(2.7.7.60-RXN)	((LEFT REMOVE PROTON))				
DPR	2-dehydropantoate 2-reductase	[c] : 2dhp + h + nadph --> nadp + pant-R	( b0425  or  b3774 )	1.1.1.169	(2-DEHYDROPANTOATE-REDUCT-RXN)	((LEFT REMOVE PROTON))				
OXGDC2	2-oxoglutarate decarboxylase	[c] : akg + h + thmpp --> co2 + ssaltpp	b2264	4.1.1.71	(2-OXOGLUT-DECARBOX-RXN)	((LEFT REMOVE PROTON))				
OPHBDC	Octaprenyl-hydroxybenzoate decarboxylase	[c] : 3ophb + h --> 2oph + co2	( b3843  or  b2311 )		(3-OCTAPRENYL-4-OHBENZOATE-DECARBOX-RXN)	((LEFT REMOVE PROTON))				
3OAR120	3-oxoacyl-[acyl-carrier-protein] reductase (n-C12:0)	[c] : 3oddecACP + h + nadph <==> 3hddecACP + nadp	b1093	1.1.1.100	(3-OXOACYL-ACP-REDUCT-RXN)	((LEFT REMOVE PROTON))				
3OAR141	3-oxoacyl-[acyl-carrier-protein] reductase (n-C14:1)	[c] : 3ocmrs7eACP + h + nadph --> 3hcmrs7eACP + nadp	b1093	1.1.1.100	(3-OXOACYL-ACP-REDUCT-RXN)	((LEFT REMOVE PROTON))				
3OAR160	3-oxoacyl-[acyl-carrier-protein] reductase (n-C16:0)	[c] : 3opalmACP + h + nadph <==> 3hpalmACP + nadp	b1093	1.1.1.100	(3-OXOACYL-ACP-REDUCT-RXN)	((LEFT REMOVE PROTON))				
3OAR161	3-oxoacyl-[acyl-carrier-protein] reductase (n-C16:1)	[c] : 3ocpalm9eACP + h + nadph --> 3hcpalm9eACP + nadp	b1093	1.1.1.100	(3-OXOACYL-ACP-REDUCT-RXN)	((LEFT REMOVE PROTON))				
3OAR180	3-oxoacyl-[acyl-carrier-protein] reductase (n-C18:0)	[c] : 3ooctdACP + h + nadph <==> 3hoctaACP + nadp	b1093	1.1.1.100	(3-OXOACYL-ACP-REDUCT-RXN)	((LEFT REMOVE PROTON))				
3OAR181	3-oxoacyl-[acyl-carrier-protein] reductase (n-C18:1)	[c] : 3ocvac11eACP + h + nadph --> 3hcvac11eACP + nadp	b1093	1.1.1.100	(3-OXOACYL-ACP-REDUCT-RXN)	((LEFT REMOVE PROTON))				
3OAR60	3-oxoacyl-[acyl-carrier-protein] reductase (n-C6:0)	[c] : 3ohexACP + h + nadph <==> 3hhexACP + nadp	b1093	1.1.1.100	(3-OXOACYL-ACP-REDUCT-RXN)	((LEFT REMOVE PROTON))				
3OAR80	3-oxoacyl-[acyl-carrier-protein] reductase (n-C8:0)	[c] : 3ooctACP + h + nadph <==> 3hoctACP + nadp	b1093	1.1.1.100	(3-OXOACYL-ACP-REDUCT-RXN)	((LEFT REMOVE PROTON))				
3OAS120	3-oxoacyl-[acyl-carrier-protein] synthase (n-C12:0)	[c] : dcaACP + h + malACP --> 3oddecACP + ACP + co2	( b2323  or  b1095 )	2.3.1.41	(3-OXOACYL-ACP-SYNTH-RXN)	((LEFT REMOVE PROTON))				
3OAS161	3-oxoacyl-[acyl-carrier-protein] synthase (n-C16:1)	[c] : h + malACP + tdeACP --> 3ocpalm9eACP + ACP + co2	b2323	2.3.1.41	(3-OXOACYL-ACP-SYNTH-RXN)	((LEFT REMOVE PROTON))				
3OAS180	3-oxoacyl-[acyl-carrier-protein] synthase (n-C18:0)	[c] : h + malACP + palmACP --> 3ooctdACP + ACP + co2	( b1095  or  b2323 )	2.3.1.41	(3-OXOACYL-ACP-SYNTH-RXN)	((LEFT REMOVE PROTON))				
3OAS80	3-oxoacyl-[acyl-carrier-protein] synthase (n-C8:0)	[c] : h + hexACP + malACP --> 3ooctACP + ACP + co2	( b2323  or  b1095 )	2.3.1.41	(3-OXOACYL-ACP-SYNTH-RXN)	((LEFT REMOVE PROTON))				
AOXSr	8-amino-7-oxononanoate synthase	[c] : ala-L + h + pmcoa <==> 8aonn + co2 + coa	b0776	2.3.1.47	(7KAPSYN-RXN)	((LEFT REMOVE PROTON))				
ACLS	acetolactate synthase	[c] : h + (2) pyr --> alac-S + co2	( ( b0077  and  b0078 )  or  ( b3670  and  b3671 ) )	4.1.3.18	(ACETOLACTSYN-RXN)	((LEFT REMOVE PROTON))				
KARA2	ketol-acid reductoisomerase (2-Acetolactate)	[c] : 2ahbut + h + nadph <==> 23dhmp + nadp	b3774	1.1.1.86	(ACETOOHBUTREDUCTOISOM-RXN)	((LEFT REMOVE PROTON))				
ACHBS	2-aceto-2-hydroxybutanoate synthase	[c] : 2obut + h + pyr --> 2ahbut + co2	( ( b3670  and  b3671 )  or  ( b0077  and  b0078 ) )		(ACETOOHBUTSYN-RXN)	((LEFT REMOVE PROTON))				
ARGDC	arginine decarboxylase	[c] : arg-L + h --> agm + co2	b4117	4.1.1.19	(ARGDECARBOX-RXN)	((LEFT REMOVE PROTON))				
ASP1DC	aspartate 1-decarboxylase	[c] : asp-L + h --> ala-B + co2	b0131	4.1.1.11	(ASPDECARBOX-RXN)	((LEFT REMOVE PROTON))				
DASYN120	CDP-diacylglycerol synthetase (n-C12:0)	[c] : ctp + h + pa120 --> cdpdddecg + ppi	b0175	2.7.7.41	(CDPDIGLYSYN-RXN)	((LEFT REMOVE PROTON))				
DASYN140	CDP-diacylglycerol synthetase (n-C14:0)	[c] : ctp + h + pa140 --> cdpdtdecg + ppi	b0175	2.7.7.41	(CDPDIGLYSYN-RXN)	((LEFT REMOVE PROTON))				
DASYN141	CDP-diacylglycerol synthetase (n-C14:1)	[c] : ctp + h + pa141 --> cdpdtdec7eg + ppi	b0175	2.7.7.41	(CDPDIGLYSYN-RXN)	((LEFT REMOVE PROTON))				
DASYN160	CDP-diacylglycerol synthetase (n-C16:0)	[c] : ctp + h + pa160 --> cdpdhdecg + ppi	b0175	2.7.7.41	(CDPDIGLYSYN-RXN)	((LEFT REMOVE PROTON))				
DASYN161	CDP-diacylglycerol synthetase (n-C16:1)	[c] : ctp + h + pa161 --> cdpdhdec9eg + ppi	b0175	2.7.7.41	(CDPDIGLYSYN-RXN)	((LEFT REMOVE PROTON))				
DASYN180	CDP-diacylglycerol synthetase (n-C18:0)	[c] : ctp + h + pa180 --> cdpdodecg + ppi	b0175	2.7.7.41	(CDPDIGLYSYN-RXN)	((LEFT REMOVE PROTON))				
DASYN181	CDP-diacylglycerol synthetase (n-C18:1)	[c] : ctp + h + pa181 --> cdpdodec11eg + ppi	b0175	2.7.7.41	(CDPDIGLYSYN-RXN)	((LEFT REMOVE PROTON))				
ACBIPGT	Adenosyl cobinamide phosphate guanyltransferase	[c] : adocbip + gtp + h --> agdpcbi + ppi	b1993		(COBINPGUANYLYLTRANS-RXN)	((LEFT REMOVE PROTON))				
DHBS	"2,3-dihydroxybenzoate adenylate synthase"	[c] : 23dhb + atp + h --> 23dhba + ppi	b0594	2.7.7.58	(DHBAMPLIG-RXN)	((LEFT REMOVE PROTON))				
DAPDC	diaminopimelate decarboxylase	[c] : 26dap-M + h --> co2 + lys-L	b2838	4.1.1.20	(DIAMINOPIMDECARB-RXN)	((LEFT REMOVE PROTON))				
DHFR	dihydrofolate reductase	[c] : dhf + h + nadph <==> nadp + thf	( b0048  or  b1606 )	1.5.1.3	(DIHYDROFOLATEREDUCT-RXN)	((LEFT REMOVE PROTON))				
LALDO2x	D-Lactaldehyde:NAD+ 1-oxidoreductase	[c] : h + mthgxl + nadh --> lald-D + nad	b3945	1.1.1.21	(D-LACTALDEHYDE-DEHYDROGENASE-RXN)	((LEFT REMOVE PROTON))				
DHNAOT4	"1,4-dihydroxy-2-naphthoate octaprenyltransferase"	[c] : dhna + h + octdp --> 2dmmql8 + co2 + ppi	b3930		(DMK-RXN)	((LEFT REMOVE PROTON))				
TDPDRR	dTDP-4-dehydrorhamnose reductase	[c] : dtdp4d6dm + h + nadph --> dtdprmn + nadp	b2040	1.1.1.133	(DTDPDEHYRHAMREDUCT-RXN)	((LEFT REMOVE PROTON))				
G1PTT	glucose-1-phosphate thymidylyltransferase	[c] : dttp + g1p + h --> dtdpglu + ppi	( b2039  or  b3789 )	2.7.7.24	(DTDPGLUCOSEPP-RXN)	((LEFT REMOVE PROTON))				
DXPRIi	1-deoxy-D-xylulose reductoisomerase	[c] : dxyl5p + h + nadph --> 2me4p + nadp	b0173		(DXPREDISOM-RXN)	((LEFT REMOVE PROTON))				
DXPS	1-deoxy-D-xylulose 5-phosphate synthase	[c] : g3p + h + pyr --> co2 + dxyl5p	b0420		(DXS-RXN)	((LEFT REMOVE PROTON))				
EAR141x	enoyl-[acyl-carrier-protein] reductase (NADH) (n-C14:1)	[c] : h + nadh + t3c7mrseACP --> nad + tdeACP	b1288	1.3.1.9	(ENOYL-ACP-REDUCT-NADH-RXN)	((LEFT REMOVE PROTON))				
EAR160x	enoyl-[acyl-carrier-protein] reductase (NADH) (n-C16:0)	[c] : h + nadh + tpalm2eACP --> nad + palmACP	b1288	1.3.1.9	(ENOYL-ACP-REDUCT-NADH-RXN)	((LEFT REMOVE PROTON))				
EAR180x	enoyl-[acyl-carrier-protein] reductase (NADH) (n-C18:0)	[c] : h + nadh + toctd2eACP --> nad + ocdcaACP	b1288	1.3.1.9	(ENOYL-ACP-REDUCT-NADH-RXN)	((LEFT REMOVE PROTON))				
EAR181x	enoyl-[acyl-carrier-protein] reductase (NADH) (n-C18:1)	[c] : h + nadh + t3c11vaceACP --> nad + octeACP	b1288	1.3.1.9	(ENOYL-ACP-REDUCT-NADH-RXN)	((LEFT REMOVE PROTON))				
EAR60x	enoyl-[acyl-carrier-protein] reductase (NADH) (n-C6:0)	[c] : h + nadh + thex2eACP --> hexACP + nad	b1288	1.3.1.9	(ENOYL-ACP-REDUCT-NADH-RXN)	((LEFT REMOVE PROTON))				
EAR141y	enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C14:1)	[c] : h + nadph + t3c7mrseACP --> nadp + tdeACP	b1288	1.3.1.10	(ENOYL-ACP-REDUCT-NADPH-RXN)	((LEFT REMOVE PROTON))				
EAR160y	enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C16:0)	[c] : h + nadph + tpalm2eACP --> nadp + palmACP	b1288	1.3.1.10	(ENOYL-ACP-REDUCT-NADPH-RXN)	((LEFT REMOVE PROTON))				
EAR180y	enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C18:0)	[c] : h + nadph + toctd2eACP --> nadp + ocdcaACP	b1288	1.3.1.10	(ENOYL-ACP-REDUCT-NADPH-RXN)	((LEFT REMOVE PROTON))				
EAR181y	enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C18:1)	[c] : h + nadph + t3c11vaceACP --> nadp + octeACP	b1288	1.3.1.10	(ENOYL-ACP-REDUCT-NADPH-RXN)	((LEFT REMOVE PROTON))				
EAR60y	enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C6:0)	[c] : h + nadph + thex2eACP --> hexACP + nadp	b1288	1.3.1.10	(ENOYL-ACP-REDUCT-NADPH-RXN)	((LEFT REMOVE PROTON))				
SERASr	(L-seryl)adenylate synthase	[c] : atp + h + ser-L <==> ppi + seramp	b0586		(ENTF-RXN)	((LEFT REMOVE PROTON))				
FMNAT	FMN adenylyltransferase	[c] : atp + fmn + h --> fad + ppi	b0025	2.7.7.2	(FADSYN-RXN)	((LEFT REMOVE PROTON))				
FHL	Formate-hydrogen lyase	[c] : for + h --> co2 + h2	( ( b4079  and  ( b2481  and  b2482  and  b2483  and  b2484  and  b2485  and  b2486  and  b2487  and  b2488  and  b2489  and  b2490 ) )  or  ( b4079  and  ( b2719  and  b2720  and  b2721  and  b2722  and  b2723  and  b2724 ) ) )		(FHLMULTI-RXN)	((LEFT REMOVE PROTON))				
GLGC	glucose-1-phosphate adenylyltransferase	[c] : atp + g1p + h --> adpglc + ppi	b3430	2.7.7.27	(GLUC1PADENYLTRANS-RXN)	((LEFT REMOVE PROTON))				
GALUi	UTP-glucose-1-phosphate uridylyltransferase (irreversible)	[c] : g1p + h + utp --> ppi + udpg	b1236	2.7.7.9	(GLUC1PURIDYLTRANS-RXN)	((LEFT REMOVE PROTON))				
GLUSy	glutamate synthase (NADPH)	[c] : akg + gln-L + h + nadph --> (2) glu-L + nadp	( b3212  and  b3213 )	1.4.1.13	(GLUTAMATESYN-RXN)	((LEFT REMOVE PROTON))				
GLUDC	Glutamate Decarboxylase	[c] : glu-L + h --> 4abut + co2	( b3517  or  b1493 )	4.1.1.15	(GLUTDECARBOX-RXN)	((LEFT REMOVE PROTON))				
GLXCL	glyoxalate carboligase	[c] : (2) glx + h --> 2h3oppan + co2	b0507	4.1.1.47	(GLYOCARBOLIG-RXN)	((LEFT REMOVE PROTON))				
IDOND	L-idonate 5-dehydrogenase	[c] : 5dglcn + h + nadh <==> idon-L + nad	b4267		(IDONDEHYD-RXN)	((LEFT REMOVE PROTON))				
IGPS	indole-3-glycerol-phosphate synthase	[c] : 2cpr5p + h --> 3ig3p + co2 + h2o	b1262	4.1.1.48	(IGPSYN-RXN)	((LEFT REMOVE PROTON))				
LCARS	"lacaldehyde reductase (S-propane-1,2-diol forming)"	[c] : h + lald-L + nadh <==> 12ppd-S + nad	b2799	1.1.1.77	(LACTALDREDUCT-RXN)	((LEFT REMOVE PROTON))				
LYSDC	lysine decarboxylase	[c] : h + lys-L --> 15dap + co2	( b0186  or  b4131 )	4.1.1.18	(LYSDECARBOX-RXN)	((LEFT REMOVE PROTON))				
MACPD	Malonyl-ACP decarboxylase	[c] : h + malACP --> acACP + co2	b2323		(MALONYL-ACPDECARBOX-RXN)	((LEFT REMOVE PROTON))				
MAN1PT2	mannose-1-phosphate guanylyltransferase (GDP)	[c] : gdp + h + man1p --> gdpmann + pi	b2049	2.7.7.22	(MANNPGUANYLTRANGDP-RXN)	((LEFT REMOVE PROTON))				
3HPPPNH	3-(3-hydroxy-phenyl)propionate hydroxylase	[c] : 3hpppn + h + nadh + o2 --> dhpppn + h2o + nad	b0347		(MHPHYDROXY-RXN)	((LEFT REMOVE PROTON))				
NADH5	NADH dehydrogenase (ubiquinone-8 )	[c] : h + nadh + q8 --> nad + q8h2	b1109	1.6.5.3	(NADH-DEHYDROG-A-RXN)	((LEFT REMOVE PROTON))				
UAGDP	UDP-N-acetylglucosamine diphosphorylase	[c] : acgam1p + h + utp --> ppi + uacgam	b3730	2.7.7.23	(NAG1P-URIDYLTRANS-RXN)	((LEFT REMOVE PROTON))				
NNATr	nicotinate-nucleotide adenylyltransferase	[c] : atp + h + nicrnt <==> dnad + ppi	b0639	2.7.7.18	(NICONUCADENYLYLTRAN-RXN)	((LEFT REMOVE PROTON))				
ORNDC	Ornithine Decarboxylase	[c] : h + orn --> co2 + ptrc	( b2965  or  b0693 )	4.1.1.17	(ORNDECARBOX-RXN)	((LEFT REMOVE PROTON))				
OMPDC	orotidine-5'-phosphate decarboxylase	[c] : h + orot5p --> co2 + ump	b1281	4.1.1.23	(OROTPDECARB-RXN)	((LEFT REMOVE PROTON))				
OAADC	oxaloacetate decarboxylase	[c] : h + oaa --> co2 + pyr	b1850	4.1.1.3	(OXALODECARB-RXN)	((LEFT REMOVE PROTON))				
PTPATi	pantetheine-phosphate adenylyltransferase	[c] : atp + h + pan4p --> dpcoa + ppi	b3634	2.7.7.3	(PANTEPADENYLYLTRAN-RXN)	((LEFT REMOVE PROTON))				
PYK	pyruvate kinase	[c] : adp + h + pep --> atp + pyr	( b1854  or  b1676 )	2.7.1.40	(PEPDEPHOS-RXN)	((LEFT REMOVE PROTON))				
PSD120	Phosphatidylserine decarboxylase (n-C12:0)	[c] : h + ps120 --> co2 + pe120	b4160	4.1.1.65	(PHOSPHASERDECARB-RXN)	((LEFT REMOVE PROTON))				
PSD140	Phosphatidylserine decarboxylase (n-C14:0)	[c] : h + ps140 --> co2 + pe140	b4160	4.1.1.65	(PHOSPHASERDECARB-RXN)	((LEFT REMOVE PROTON))				
PSD141	Phosphatidylserine decarboxylase (n-C14:1)	[c] : h + ps141 --> co2 + pe141	b4160	4.1.1.65	(PHOSPHASERDECARB-RXN)	((LEFT REMOVE PROTON))				
PSD160	Phosphatidylserine decarboxylase (n-C16:0)	[c] : h + ps160 --> co2 + pe160	b4160	4.1.1.65	(PHOSPHASERDECARB-RXN)	((LEFT REMOVE PROTON))				
PSD161	Phosphatidylserine decarboxylase (n-C16:1)	[c] : h + ps161 --> co2 + pe161	b4160	4.1.1.65	(PHOSPHASERDECARB-RXN)	((LEFT REMOVE PROTON))				
PSD180	Phosphatidylserine decarboxylase (n-C18:0)	[c] : h + ps180 --> co2 + pe180	b4160	4.1.1.65	(PHOSPHASERDECARB-RXN)	((LEFT REMOVE PROTON))				
PSD181	Phosphatidylserine decarboxylase (n-C18:1)	[c] : h + ps181 --> co2 + pe181	b4160	4.1.1.65	(PHOSPHASERDECARB-RXN)	((LEFT REMOVE PROTON))				
PPCDC	phosphopantothenoylcysteine decarboxylase	[c] : 4ppcys + h --> co2 + pan4p	b3639	4.1.1.36	(P-PANTOCYSDECARB-RXN)	((LEFT REMOVE PROTON))				
PPNDH	prephenate dehydratase	[c] : h + pphn --> co2 + h2o + phpyr	b2599	4.2.1.51	(PREPHENATEDEHYDRAT-RXN)	((LEFT REMOVE PROTON))				
NNDPR	nicotinate-nucleotide diphosphorylase (carboxylating)	[c] : (2) h + prpp + quln --> co2 + nicrnt + ppi	b0109	2.4.2.19	(QUINOPRIBOTRANS-RXN)	((LEFT REMOVE PROTON))				
3OAS121	3-oxoacyl-[acyl-carrier-protein] synthase (n-C12:1)	[c] : cdec3eACP + h + malACP --> 3ocddec5eACP + ACP + co2	b2323	2.3.1.41	(RXN0-2141)	((LEFT REMOVE PROTON))				
3OAR121	3-oxoacyl-[acyl-carrier-protein] reductase (n-C12:1)	[c] : 3ocddec5eACP + h + nadph --> 3hcddec5eACP + nadp	b1093	1.1.1.100	(RXN0-2142)	((LEFT REMOVE PROTON))				
EAR121y	enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C12:1)	[c] : h + nadph + t3c5ddeceACP --> cddec5eACP + nadp	b1288	1.3.1.10	(RXN0-2145)	((LEFT REMOVE PROTON))				
CYSSADS	L-cysteine sulfinic acid desulfurase	[c] : 3sala + (2) h --> ala-L + so2	b2810	4.1.1.12	(RXN0-279)	((LEFT REMOVE PROTON))				
HPYRRy	Hydroxypyruvate reductase (NADPH)	[c] : h + hpyr + nadph --> glyc-R + nadp	( b1033  or  b3553 )		(RXN0-300)	((LEFT REMOVE PROTON))				
ALR2	aldose reductase (methylglyoxal)	[c] : h + mthgxl + nadph --> acetol + nadp	( b3012  or  b0207  or  b1781  or  b3001 )		(RXN0-4281)	((LEFT REMOVE PROTON))				
GMHEPAT	D-glycero-D-manno-hepose 1-phosphate adenyltransferase	[c] : atp + gmhep1p + h --> adphep-DD + ppi	b3052		(RXN0-4342)	((LEFT REMOVE PROTON))				
