abbreviation	name	equation	reversible	compartement	lowbnd	uppbnd	obj_coef	rule	subsystem
Trans_zn2	zinc exporter ABC transport	zn2[c] + atp[c] + h2o[c] --> zn2[e] + adp[c] + pi[c]	false	C_c, C_e	0	1000	0	(CD0313)	ATP-driven transport
Trans_g3p	glycerol-3-phosphate-transporting ATPase	g3p[e] + atp[c] + h2o[c] --> g3p[c] + adp[c] + pi[c]	false	C_c, C_e	0	1000	0	(CD3417) and (CD3416) and (CD3415) and (CD3414)	ATP-driven transport
Trans_fe2	Iron atp driven transport	fe2[e] + atp[c] + h2o[c] --> adp[c] + pi[c] + fe2[c]	false	C_c, C_e	0	1000	0	(CD1647) or (CD1648) or (CD1649) or (CD1650)	ATP-driven transport
Trans_no2	Nitrate ATP transporter	no3[e] + atp[c] + h2o[c] --> no3[c] + adp[c] + pi[c]	false	C_c, C_e	0	1000	0	(CD1000) and (CD1001) and (CD0999) or (CD1979) and (CD1978) and (CD1980) or (CD2361) or (CD2365) or (CD1904) and (CD2989) and (CD2990)	ATP-driven transport
Trans_cysL	amino-acid ABC transport (L-cysteine)	cysL[e] + atp[c] + h2o[c] --> cysL[c] + adp[c] + pi[c]	false	C_c, C_e	0	1000	0	(CD1775) or (CD1776) or (CD2172) or (CD0752) or (CD0751)	ATP-driven transport
Trans_c1ala	Vitamin B12 transport	c1ala[e] + h2o[c] + atp[c] --> c1ala[c] + pi[c] + adp[c]	false	C_c, C_e	0	1000	0	(CD2875) and (CD2876) and (CD2878) or (CD2975) and (CD2877) and (CD2878)	ATP-driven transport
Trans_metL	amino-acid ABC transport (L-methionine)	metL[e] + atp[c] + h2o[c] --> metL[c] + adp[c] + pi[c]	false	C_c, C_e	0	1000	0	(CD1775) or (CD1776) or (CD2172) or (CD0752) or (CD0751)	ATP-driven transport
Trans_trpL	amino-acid ABC transport (L-tryptophan)	trpL[e] + atp[c] + h2o[c] --> trpL[c] + adp[c] + pi[c]	false	C_c, C_e	0	1000	0	(CD1775) or (CD1776) or (CD2172) or (CD0752) or (CD0751)	ATP-driven transport
Trans_spmd	spermine ABC transport	spmd[e] + atp[c] + h2o[c] --> spmd[c] + adp[c] + pi[c]	false	C_c, C_e	0	1000	0	(potA) or (potC)	ATP-driven transport
Trans_lysL	amino-acid ABC transport (L-lysine)	lysL[e] + atp[c] + h2o[c] --> lysL[c] + adp[c] + pi[c]	false	C_c, C_e	0	1000	0	(CD1775) or (CD1776) or (CD2172) or (CD0752) or (CD0751)	ATP-driven transport
Trans_leuL	amino-acid ABC transport (L-leucine)	leuL[e] + atp[c] + h2o[c] --> leuL[c] + adp[c] + pi[c]	false	C_c, C_e	0	1000	0	(CD1775) or (CD1776) or (CD2172) or (CD0752) or (CD0751)	ATP-driven transport
Trans_alaL2	L-alanine transporter	alaL[e] + atp[c] + h2o[c] --> alaL[c] + adp[c] + pi[c]	false	C_c, C_e	0	1000	0	(CD1775) or (CD1776) or (CD2172) or (CD0752) or (CD0751)	ATP-driven transport
Trans_pheL	amino-acid ABC transport (L-phenylalanine)	pheL[e] + atp[c] + h2o[c] --> pheL[c] + adp[c] + pi[c]	false	C_c, C_e	0	1000	0	(CD1775) or (CD1776) or (CD2172) or (CD0752) or (CD0751)	ATP-driven transport
Trans_cobalt	The ATP-binding Cassette (ABC) Superfamily	cobalt[e] + atp[c] + h2o[c] --> adp[c] + cobalt[c] + pi[c]	false	C_c, C_e	0	1000	0	(cbiO2) and (cbiO1) and (cbiQ) and (cbiN) and (cbiM) or (cbiO) and (CD0326) and (cbiN) and (cbiM) or (CD0431) and (CD0430)	ATP-driven transport
Trans_ca	Calcium ATP dependent transport	ca2[e] + atp[c] + h2o[c] --> ca2[c] + adp[c] + pi[c]	false	C_c, C_e	0	1000	0	(CD1824) or (CD2503) or (CD1637) or (CD2833)	ATP-driven transport
Trans_valL	amino-acid ABC transport (L-valine)	valL[e] + atp[c] + h2o[c] --> valL[c] + adp[c] + pi[c]	false	C_c, C_e	0	1000	0	(CD1775) or (CD1776) or (CD2172) or (CD0752) or (CD0751)	ATP-driven transport
Trans_proL	amino-acid ABC transport (L-proline)	proL[e] + atp[c] + h2o[c] --> proL[c] + adp[c] + pi[c]	false	C_c, C_e	0	1000	0	(CD1775) or (CD1776) or (CD2172) or (CD0752) or (CD0751)	ATP-driven transport
Trans_mg3	P-type magnesium transporter	mg2[e] + atp[c] + h2o[c] --> mg2[c] + adp[c] + pi[c]	false	C_c, C_e	0	1000	0	(mgtA) or (mgtB)	ATP-driven transport
Trans_thrL	amino-acid ABC transport (L-threonine)	thrL[e] + atp[c] + h2o[c] --> thrL[c] + adp[c] + pi[c]	false	C_c, C_e	0	1000	0	(CD1775) or (CD1776) or (CD2172) or (CD0752) or (CD0751)	ATP-driven transport
Trans_k	potassium transport	k[e] + atp[c] + h2o[c] --> k[c] + adp[c] + pi[c]	false	C_c, C_e	0	1000	0	(kdpA) and (kdpB) and (kdpC)	ATP-driven transport
Trans_gly	amino-acid ABC transport (glycine)	gly[e] + atp[c] + h2o[c] --> gly[c] + adp[c] + pi[c]	false	C_c, C_e	0	1000	0	(CD1775) or (CD1776) or (CD2172) or (CD0752) or (CD0751)	ATP-driven transport
Trans_mg2	magnesium ABC transporter	mg2[e] + atp[c] + h2o[c] --> mg2[c] + adp[c] + pi[c]	false	C_c, C_e	0	1000	0	(mgtC) or (CD1659) or (CD0591)	ATP-driven transport
Trans_serL	amino-acid ABC transport (L-serine)	serL[e] + atp[c] + h2o[c] --> serL[c] + adp[c] + pi[c]	false	C_c, C_e	0	1000	0	(CD1775) or (CD1776) or (CD2172) or (CD0752) or (CD0751)	ATP-driven transport
Trans_ileL	amino-acid ABC transport (L-isoleucine)	ileL[e] + atp[c] + h2o[c] --> ileL[c] + adp[c] + pi[c]	false	C_c, C_e	0	1000	0	(CD1775) or (CD1776) or (CD2172) or (CD0752) or (CD0751)	ATP-driven transport
Trans_ribD	ribose ABC transporter	ribD[e] + atp[c] + h2o[c] --> ribD[c] + adp[c] + pi[c]	false	C_c, C_e	0	1000	0	(rbsA) and (rbsC) and (rbsB) or (CD1587) and (CD1588) and (CD1589)	ATP-driven transport
ID_470	asparagine synthase (glutamine-hydrolysing)	[c]: aspL + glnL + atp + h2o <==> asnL + gluL + ppi + amp	true	C_c	-1000	1000	0	(CD0391) or (CD1632) or (asnB)	Alanine, aspartate and glutamate metabolism
ID_222	aspartate-ammonia ligase	[c]: aspL + nh3 + atp --> asnL + ppi + amp	false	C_c	0	1000	0	(asnA)	Alanine, aspartate and glutamate metabolism
ID_88	succinate semialdehyde:NAD+ oxidoreductase	[c]: sucsald + h2o + nad --> succ + nadh + h	false	C_c	0	1000	0	(sucD)	Alanine, aspartate and glutamate metabolism
ID_317	Acetamide amidohydrolase	[c]: actid + h2o <==> ac + nh3	true	C_c	-1000	1000	0	(CD2737)	Alanine, aspartate and glutamate metabolism
ID_575	L-glutamate:NAD+ oxidoreductase (deaminating)	[c]: gluL + nad + h2o --> nh3 + 2oglut + nadh + h	false	C_c	0	1000	0	(gluD)	Alanine, aspartate and glutamate metabolism
ID_712	4-aminobutyrate:2-oxoglutarate aminotransferase	[c]: 4abat + 2oglut --> sucsald + gluL	false	C_c	0	1000	0	(gabT)	Alanine, aspartate and glutamate metabolism
ID_411	succinate semialdehyde:NADP+ oxidoreductase	[c]: sucsald + h2o + nadp --> succ + nadph + h	false	C_c	0	1000	0	(sucD) or (gapN)	Alanine, aspartate and glutamate metabolism
ID_439	aspartate:2-oxoglutarate aminotransferase	[c]: oxac + gluL --> aspL + 2oglut	false	C_c	0	1000	0	(aspC) or (aspD) or (CD2382) or (aspB) or (CD2828)	Alanine, aspartate and glutamate metabolism
ID_445	glutamine-fructose-6-phosphate transaminase (isomerizing)	[c]: fru6p + glnL --> ga6p + gluL	false	C_c	0	1000	0	(glmS) or (CD2420) or (CD3331)	Alanine, aspartate and glutamate metabolism
ID_142	4-aminobutanoate:pyruvate aminotransferase	[c]: 4abat + pyr <==> sucsald + alaL	true	C_c	-1000	1000	0	(CD2532)	Alanine, aspartate and glutamate metabolism
ID_12	glutamate racemase	[c]: gluL --> gluD	false	C_c	0	1000	0	(murI) or (racX) or (CD2819) or (orr)	Alanine, aspartate and glutamate metabolism
ID_365	argininosuccinate lyase	[c]: argsuc --> argL + fum	false	C_c	0	1000	0	(argH)	Alanine, aspartate and glutamate metabolism
ID_92	asparaginase	[c]: asnL + h2o --> aspL + nh3	false	C_c	0	1000	0	(CD0391) or (CD1632) or (asnB)	Alanine, aspartate and glutamate metabolism
ID_543	glutamate synthase (NADPH)	[c]: glnL + nadph + 2oglut + h --> (2) gluL + nadp	false	C_c	0	1000	0	(aspB) or (CD1537)	Alanine, aspartate and glutamate metabolism
ID_675	L-glutamine aminohydrolase	[c]: glnL + h2o --> gluL + nh3	false	C_c	0	1000	0	(glsA)	Alanine, aspartate and glutamate metabolism
ID_688	4-aminobutyrate transaminase	[c]: alaB + 2oglut <==> malsald + gluL	true	C_c	-1000	1000	0	(gabT)	Alanine, aspartate and glutamate metabolism
ID_336	L-alanine:2-oxoglutarate aminotransferase	[c]: alaL + 2oglut --> gluL + pyr	false	C_c	0	1000	0		Alanine, aspartate and glutamate metabolism
ID_506	UDP-N-acetylmuramate-L-alanine ligase	[c]: udpamr + alaL + atp --> udpamala + adp + pi	false	C_c	0	1000	0	(murC)	Alanine, aspartate and glutamate metabolism
ID_3	glutathione gamma-glutamylaminopeptidase	[c]: gth + h2o <==> cysgly + gluL	true	C_c	-1000	1000	0	(CD1534)	Alanine, aspartate and glutamate metabolism
ID_428	UDP-N-acetylmuramoyl-L-alanine-D-glutamate ligase	[c]: udpamala + gluD + atp --> udpamag + adp + pi	false	C_c	0	1000	0	(murD)	Alanine, aspartate and glutamate metabolism
ID_526	glutamate-ammonia ligase	[c]: gluL + nh3 + atp --> glnL + pi + adp	false	C_c	0	1000	0	(glnA)	Alanine, aspartate and glutamate metabolism
ID_357	alanine racemase	[c]: alaL <==> alaD	true	C_c	-1000	1000	0	(CD2623) or (alr) or (CD2819) or (racX) or (orr) or (vanTG)	Alanine, aspartate and glutamate metabolism
ID_346	D-alanine-D-alanine ligase	[c]: (2) alaD + atp --> alaala + adp + pi	false	C_c	0	1000	0	(ddl)	Alanine, aspartate and glutamate metabolism
ID_396	L-Serine:pyruvate aminotransferase	[c]: serL + pyr <==> hpyr + alaL	true	C_c	-1000	1000	0	(CD0994)	Alanine, aspartate and glutamate metabolism
ID_446	argininosuccinate synthase	[c]: citrL + aspL + atp --> argsuc + ppi + amp	false	C_c	0	1000	0	(argG)	Alanine, aspartate and glutamate metabolism
ID_561	L-glutamate:NAD+ oxidoreductase (transaminating)	[c]: glnL + nadh + 2oglut + h --> (2) gluL + nad	false	C_c	0	1000	0	(aspB) or (CD1537)	Alanine, aspartate and glutamate metabolism
ID_583	malonate semialdehide decarboxylase	[c]: malsald <==> aald + co2	true	C_c	-1000	1000	0		Alanine, aspartate and glutamate metabolism
ID_347	aspartate 1-decarboxylase	[c]: aspL --> alaL + co2	false	C_c	0	1000	0	(aspD)	Alanine, aspartate and glutamate metabolism
ID_759	4-aminobutanoate:glyoxylate aminotransferase	[c]: 4abat + glx <=> sucsald + gly	true	C_c	-1000	1000	0	(CD2532)	Alanine, aspartate and glutamate metabolism
ID_380	glucosamine-6-phosphate deaminase	[c]: ga6p + h2o --> fru6p + nh3	false	C_c	0	1000	0	(nagB)	Amino sugar and nucleotide sugar metabolism
ID_571	ATP:N-acetyl-D-glucosamine 6-phosphotransferase	[c]: aga + atp --> aga6p + adp	false	C_c	0	1000	0	(CD1585)	Amino sugar and nucleotide sugar metabolism
ID_331	UDP-N-acetylglucosamine diphosphorylase	[c]: aga1p + utp --> udpaga + ppi	false	C_c	0	1000	0	(glmU)	Amino sugar and nucleotide sugar metabolism
ID_227	phosphoglucosamine mutase	[c]: ga6p --> ga1p	false	C_c	0	1000	0	(CD0119)	Amino sugar and nucleotide sugar metabolism
ID_594	glucosamine-1-phosphate N-acetyltransferase	[c]: ga1p + acoa --> aga1p + coa	false	C_c	0	1000	0	(glmU)	Amino sugar and nucleotide sugar metabolism
ID_514	N-acetylglucosamine-6-phosphate deacetylase	[c]: aga6p + h2o --> ga6p + ac	false	C_c	0	1000	0	(nagA) or (agaA)	Amino sugar and nucleotide sugar metabolism
ID_548	UDP-N-acetyl-D-glucosamine 2-epimerase (UDP-forming)	[c]: udpaga + h2o --> ama + udp	false	C_c	0	1000	0	(mnaA)	Amino sugar and nucleotide sugar metabolism
ID_301	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	[c]: udpaga + pepyr --> udpagaepyr + pi	false	C_c	0	1000	0	(murA)	Amino sugar and nucleotide sugar metabolism
ID_176	UDP-N-acetylmuramate:NAD+ oxidoreductase	[c]: udpamr + nad <==> udpagaepyr + nadh + h	true	C_c	-1000	1000	0	(murB)	Amino sugar and nucleotide sugar metabolism
ID_194	N-acetylneuraminate pyruvate-lyase	[c]: acnam --> ama + pyr	false	C_c	0	1000	0	(nanA)	Amino sugar and nucleotide sugar metabolism
ID_727	N-acetyl-D-glucosamine 6-phosphate 2-epimerase	[c]: ama6p <==> aga6p	true	C_c	-1000	1000	0	(nanE)	Amino sugar and nucleotide sugar metabolism
ID_741	ATP:N-acetyl-D-mannosamine 6-phosphotransferase	[c]: ama + atp --> ama6p + adp	false	C_c	0	1000	0	(CD2194)	Amino sugar and nucleotide sugar metabolism
ID_223	UDP-N-acetylmuramate dehydrogenase	[c]: udpagaepyr + nadph + h --> udpamr + nadp	false	C_c	0	1000	0	(murB)	Amino sugar and nucleotide sugar metabolism
ID_121	UDP-N-acetyl-D-glucosamine 2-epimerase	[c]: udpaga --> udpama	false	C_c	0	1000	0	(mnaA)	Amino sugar and nucleotide sugar metabolism
ID_602	L-arginine carboxy-lyase	[c]: argL --> agm + co2	false	C_c	0	1000	0	(speA) or (CD3551)	Arginine and proline metabolism
ID_367	allophanate hydrolase	[c]: urea1c + h2o --> (2) nh3 + (2) co2	false	C_c	0	1000	0	(CD1386) and (CD1387)	Arginine and proline metabolism
ID_493	acetyl-CoA:putrescine N-acetyltransferase	[c]: acoa + ptrc <==> coa + nacput	true	C_c	-1000	1000	0	(bltD)	Arginine and proline metabolism
ID_106	N-acetyl-gamma-glutamyl-phosphate reductase	[c]: agmp + nadph + h --> aglu5sald + pi + nadp	false	C_c	0	1000	0	(argC)	Arginine and proline metabolism
ID_638	agmatine amidinohydrolase	[c]: agm + h2o --> ptrc + urea	false	C_c	0	1000	0	(speB)	Arginine and proline metabolism
ID_467	ornithine carbamoyltransferase	[c]: cbp + ornL <==> citrL + pi	true	C_c	-1000	1000	0	(argF)	Arginine and proline metabolism
ID_747	acetylornithine amidohydrolase	[c]: aorn + h2o --> ornL + ac	false	C_c	0	1000	0	(argE)	Arginine and proline metabolism
ID_278	N2-Acetyl-L-ornithine:L-glutamate N-acetyltransferase	[c]: aorn + gluL <==> ornL + aglu	true	C_c	-1000	1000	0	(argJ)	Arginine and proline metabolism
ID_42	4-aminobutyraldehyde:NAD+ oxidoreductase	[c]: 4abald + nad + h2o <==> 4abat + nadh + h	true	C_c	-1000	1000	0	(aldH)	Arginine and proline metabolism
ID_635	acetylglutamate kinase	[c]: aglu + atp --> agmp + adp	false	C_c	0	1000	0	(argB)	Arginine and proline metabolism
ID_311	amino-acid N-acetyltransferase	[c]: gluL + acoa --> aglu + coa	false	C_c	0	1000	0	(argJ)	Arginine and proline metabolism
ID_135	proline racemase	[c]: proL --> proD	false	C_c	0	1000	0	(prdF) or (racX) or (CD2819) or (orr)	Arginine and proline metabolism
ID_627	urea:bicarbonate ligase	[c]: urea + atp + hco3 + h --> urea1c + pi + adp	false	C_c	0	1000	0	(CD1387)	Arginine and proline metabolism
ID_295	putrescine aminotransferase	[c]: ptrc + pyr --> 4abald + alaL	false	C_c	0	1000	0		Arginine and proline metabolism
ID_748	acetylornithine transaminase	[c]: aglu5sald + gluL --> aorn + 2oglut	false	C_c	0	1000	0	(argM)	Arginine and proline metabolism
ID_337	L-arginine iminohydrolase	[c]: argL + h2o <==> citrL + nh3	true	C_c	-1000	1000	0		Arginine and proline metabolism
Bio_CW	Cell wall synthesis	[c]: (0.363) CLP + (0.019) teichoic --> CW	false	C_c	0	1000	0		Biomass Equation
Biomass	Biomass Reaction	[c]: (0.4) Prot + (0.12) RNA + (0.03) DNA + (0.07) Lip + (0.24) CW + (0.14) SPs + (40) h2o + (40) atp --> (40) adp + (40) pi	false	C_c	0	1000	1		Biomass Equation
Bio_RNA	RNA synthesis	[c]: (1.146) atp + (0.329) ctp + (0.892) utp + (0.548) gtp + h2o --> RNA + (1.25) adp + (1.25) pi + ppi	false	C_c	0	1000	0		Biomass Equation
Bio_DNA	DNA synthesis	[c]: (1.075) datp + (0.440) dctp + (1.075) dttp + (0.440) dgtp + (4.39) atp + h2o --> DNA + (4.39) adp + (4.39) pi + ppi	false	C_c	0	1000	0		Biomass Equation
Bio_CLP	Peptidoglycan synthesis	[c]: (1.064) udpamagdapaa + (1.064) udpaga + (4.425) atp + h2o --> CLP + (1.106) alaD + (1.106) udp + (4.425) adp + (4.425) pi	false	C_c	0	1000	0	(murG)	Biomass Equation
Bio_prot	Protein synthesis	[c]: (0.375) alaL + (0.225) argL + (0.441) asnL + (0.399) aspL + (0.087) cysL + (0.167) glnL + (0.517) gluL + (0.442) gly + (0.095) his + (0.693) ileL + (0.636) leuL + (0.637) lysL + (0.190) metL + (0.304) pheL + (0.192) proL + (0.457) serL + (0.344) thrL + (0.043) trpL + (0.286) tyrL + (0.462) valL + (39.94) atp + h2o --> Prot + (39.94) adp + (39.94) pi	false	C_c	0	1000	0		Biomass Equation
Bio_lip	Lipid composition	[c]: (0.4588) ptgp + (0.0574) cdlp + (0.0574) 3pt13lg + (0.0115) 3g12dag + (0.0688) dgdag + (0.0344) lpteichoic + (0.0765) mqn + (0.1912) 12dag --> Lip	false	C_c	0	1000	0		Biomass Equation
Bio_SPs	Solute Pool	[c]: (0.0008) atp + (0.1161) alaL + (0.0288) argL + (0.5959) aspL + (0.5256) gluL + (0.0086) glnL + (0.0398) gly + (0.0169) his + (0.0481) ileL + (0.0222) leuL + (0.0405) lysL + (0.0222) metL + (0.0043) pheL + (0.1293) proL + (0.756) serL + (0.0156) thrL + (0.0017) thym + (0.0162) valL + (0.9947) pi + (0.4775) glcAD + (0.00033) acoa + (0.0004) coa + (0.0001) citrL + (0.00067) fad + (0.01433) nad + (0.00033) nadh + (0.00087) nadp + (0.00267) nadph --> SPs	false	C_c	0	1000	0		Biomass Equation
ID_525	acetyl-CoA:4-hydroxybutanoate CoA-transferase	[c]: 4hbut + acoa --> ac + 4hcoa	false	C_c	0	1000	0	(cat2)	Butanoate metabolism
ID_616	vinylacetyl-CoA delta3-delta2-isomerase	[c]: vacoa --> ctncoa	false	C_c	0	1000	0	(abfD)	Butanoate metabolism
ID_530	butanal:NADP+ oxidoreductase (CoA-acylating)	[c]: btcoa + nadph + h --> btal + coa + nadp	false	C_c	0	1000	0	(adhE) or (CD2966)	Butanoate metabolism
ID_519	(S)-3-hydroxybutanoyl-CoA:NADP+ oxidoreductase	[c]: 3hbcoa + nadp <==> aacoa + nadph + h	true	C_c	-1000	1000	0	(hbd)	Butanoate metabolism
ID_72	butanoyl-CoA:acetate CoA-transferase	[c]: btcoa + ac --> 2but + acoa	false	C_c	0	1000	0	(scoA) and (scoB)	Butanoate metabolism
ID_502	(S)-acetoin:NAD+ oxidoreductase	[c]: da + nadh + h --> actnS + nad	false	C_c	0	1000	0	(fabG)	Butanoate metabolism
ID_156	4-hydroxybutanoyl-CoA hydro-lyase	[c]: 4hcoa --> vacoa + h2o	false	C_c	0	1000	0	(abfD)	Butanoate metabolism
ID_21	oxidoreductase acting on the CH-OH group of donors with NADP+ as acceptor	[c]: btal + nadph + h --> buta + nadp	false	C_c	0	1000	0	(adhE) or (CD3006)	Butanoate metabolism
ID_615	(R)-acetoin:NAD+ oxidoreductase	[c]: da + nadh + h --> actnR + nad	false	C_c	0	1000	0	(fabG)	Butanoate metabolism
ID_251	butyrate kinase	[c]: 2but + atp --> butp + adp	false	C_c	0	1000	0	(buk) or (CD2379) or (buk1)	Butanoate metabolism
ID_504	trans-2-enoyl-CoA reductase (NADP+)	[c]: ctnycoa + nadph + h --> btcoa + nadp	false	C_c	0	1000	0	(acdB) or (bcd2)	Butanoate metabolism
ID_507	succinate semialdehyde hydrogenase	[c]: sucsald + nadh + h <==> 4hbut + nad	true	C_c	-1000	1000	0	(abfH)	Butanoate metabolism
ID_18	(R)-3-hydroxybutanoate:NAD+ oxidoreductase	[c]: r3hbat + nad <==> aac + nadh + h	true	C_c	-1000	1000	0	(bdhA)	Butanoate metabolism
ID_463	oxidoreductase acting on the CH-OH group of donors with NAD+ as acceptor	[c]: btal + nadh + h --> buta + nad	false	C_c	0	1000	0	(adhE) or (CD3006) or (CD2966)	Butanoate metabolism
ID_500	carbonate hydro-lyase	[c]: co2 + h2o --> hco3 + h	false	C_c	0	1000	0	(CD2213)	Butanoate metabolism
ID_379	(R)-acetoin racemase	[c]: actnR <==> actnS	true	C_c	-1000	1000	0		Butanoate metabolism
ID_175	butanal:NAD+ oxidoreductase (CoA-acylating)	[c]: btcoa + nadh + h --> btal + coa + nad	false	C_c	0	1000	0	(adhE) or (CD2966)	Butanoate metabolism
ID_6	2-acetolactate decarboxylation	[c]: 2alac + elecaccept-oxi --> da + elecaccept-red + co2	false	C_c	0	1000	0	(Spontaneous)	Butanoate metabolism
ID_287	Glutaconyl-CoA carboxy-lyase	[c]: gccoa --> ctncoa + co2	false	C_c	0	1000	0		Butanoate metabolism
ID_272	phosphate butyryltransferase	[c]: btcoa + pi --> butp + coa	false	C_c	0	1000	0	(ptb) or (CD0715) or (CD2425)	Butanoate metabolism
ID_523	acetolactate decarboxylase	[c]: 2alac <==> actnR + co2	true	C_c	-1000	1000	0		Butanoate metabolism
Trans_mg	magnesium transporter	mg2[e] --> mg2[c]	false	C_c, C_e	0	1000	0	(CD2436) or (CD0902) or (CD1831) or (CD2122) or (CD2832) or (CD3270) or (CD3520)	Channel-type facilitator
Trans_k4	potassium:H+ antiporter	k[e] + h[c] --> k[c] + h[e]	false	C_c, C_e	0	1000	0		Channel-type facilitator
Trans_for	Formate transport	for[e] <==> for[c]	true	C_c, C_e	-1000	1000	0	(CD3403)	Channel-type facilitator
Trans_no	nitrite transporter	no2[e] --> no2[c]	false	C_c, C_e	0	1000	0	(nirC) or (CD3403)	Channel-type facilitator
Trans_k3	potassium ion chanel	k[e] --> k[c]	false	C_c, C_e	0	1000	0	(CD0697) or (CD2142)	Channel-type facilitator
Trans_zn	zinc transporter	zn2[e] --> zn2[c]	false	C_c, C_e	0	1000	0	(zupT) or (CD0902) or (CD1831) or (CD2122) or (CD2832) or (CD3270) or (CD3520)	Channel-type facilitator
ID_61	isocitrate:NADP+ oxidoreductase	[c]: icit + nadp --> 2oglut + nadph + co2 + h	false	C_c	0	1000	0	(CD0834)	Citrate cycle (TCA cycle)
ID_708	2-oxoglutarate dehydrogenase complex	[c]: 2oglut + coa + nad --> succoa + co2 + nadh + h	false	C_c	0	1000	0	(CD0723) and (acoL)	Citrate cycle (TCA cycle)
ID_370	pyruvate carboxylase	[c]: hco3 + pyr + atp + h --> oxac + pi + adp	false	C_c	0	1000	0	(pyc)	Citrate cycle (TCA cycle)
ID_433	citrate hydro-lyase	[c]: cit <==> acon + h2o	true	C_c	-1000	1000	0	(acnB)	Citrate cycle (TCA cycle)
ID_171	isocitrate dehydrogenase (NAD+)	[c]: icit + nad --> 2oglut + co2 + nadh + h	false	C_c	0	1000	0	(CD0834)	Citrate cycle (TCA cycle)
ID_544	acetyl-CoA:oxaloacetate C-acetyltransferase	[c]: oxac + acoa + h2o --> cit + coa	false	C_c	0	1000	0		Citrate cycle (TCA cycle)
ID_310	succinyl-CoA synthase	[c]: succ + coa + atp <==> succoa + pi + adp	true	C_c	-1000	1000	0	(cat1)	Citrate cycle (TCA cycle)
ID_606	isocitrate hydro-lyase	[c]: icit <==> acon + h2o	true	C_c	-1000	1000	0	(acnB)	Citrate cycle (TCA cycle)
