COMPOUND ID	NAME	FORMULA	KEGG	STATUS IN Oh et al model	MODEL IDs	CHARGE	DELTAG (kcal/mol)	DELTAGERR (kcal/mol)														
cpd00011	CO2|Carbon dioxide|co2	CO2	C00011	co2	iJR904:co2|iAO358:cll_2|iAG612:cbs_12|iAF692:co2|iSB619:co2|iAF1260:co2|iIT341:co2|iAbaylyiv4:CARBON-DIOXIDE|iND750:co2|iYO844:co2|iPS189:co2|iNJ661:co2|iJN746:co2	0	-92.26	0.50														
cpd00012	Pyrophosphate|Pyrophosphoric acid|Diphosphate|PPi|diphosphate|pyrophosphate	H2O7P2	C00013	ppi	iJR904:ppi|iAO358:cll_38:cll_324|iAG612:cbs_146|iAF692:ppi|iSB619:ppi|iAF1260:ppi|iIT341:ppi|iAbaylyiv4:PPI|iND750:ppi|iYO844:ppi|iPS189:ppi|iNJ661:ppi|iJN746:ppi	-2	-480.93	0.50														
cpd00013	NH3|Ammonia|Ammonium|NH4+|NH4plus|nh4+	H4N	C00014|C01342	nh4	iJR904:nh4|iAO358:cll_15|iAG612:cbs_3|iAF692:nh4|iSB619:nh4|iAF1260:nh4|iIT341:nh4|iAbaylyiv4:AMMONIUM|iND750:nh4|iYO844:nh4|iPS189:nh4|iNJ661:nh4|iJN746:nh4:nh3	1	-18.97	0.50														
cpd00014	UDP|Uridine 5'-diphosphate|udp	C9H12N2O12P2	C00015	udp	iJR904:udp|iAO358:cll_285|iAG612:cbs_500|iAF692:udp|iSB619:udp|iAF1260:udp|iIT341:udp|iAbaylyiv4:UDP|iND750:udp|iYO844:udp|iPS189:udp|iNJ661:udp|iJN746:udp	-2	-605.77	1.89														
cpd00015	FAD|Flavin adenine dinucleotide|Flavin adenine dinucleotide oxidized|Flavinadeninedinucleotideoxidized|fad	C27H31N9O15P2	C00016	fad	iJR904:fad|iAO358:cll_188|iAG612:cbs_100|iSB619:fad|iAF1260:fad|iIT341:fad|iAbaylyiv4:FAD|iND750:fad|iYO844:fad|iPS189:fad|iNJ661:fad|iJN746:fad	-2	-529.37	5.38														
cpd00017	S-Adenosyl-L-methionine|S-Adenosylmethionine|Acylcarnitine|S-adenosyl-L-methionine|AdoMet|SAM|s-adenosyl-l-methionine	C15H23N6O5S	C00019	amet	iJR904:amet|iAO358:cll_272|iAG612:cbs_223|iAF692:amet|iSB619:amet|iAF1260:amet|iIT341:amet|iAbaylyiv4:S-ADENOSYLMETHIONINE|iND750:amet|iYO844:amet|iPS189:amet|iNJ661:amet|iJN746:amet	1	-66.63	3.68														
cpd00018	AMP|Adenosine 5'-monophosphate|Adenylic acid|Adenylate|5'-AMP|5'-Adenylic acid|5'-Adenosine monophosphate|Adenosine 5'-phosphate|amp	C10H13N5O7P	C00020	amp	iJR904:amp|iAO358:cll_24|iAG612:cbs_145|iAF692:amp|iSB619:amp|iAF1260:amp|iIT341:amp|iAbaylyiv4:AMP|iND750:amp|iYO844:amp|iPS189:amp|iNJ661:amp|iJN746:amp	-1	-257.85	3.03														
cpd00019	S-Adenosyl-L-homocysteine|S-Adenosylhomocysteine|S-adenosyl-L-homocysteine|s-adenosyl-homocysteine	C14H20N6O5S	C00021	ahcys	iJR904:ahcys|iAO358:cll_377|iAG612:cbs_502|iAF692:ahcys|iSB619:ahcys|iAF1260:ahcys|iIT341:ahcys|iAbaylyiv4:ADENOSYL-HOMO-CYS|iND750:ahcys|iYO844:ahcys|iPS189:ahcys|iNJ661:ahcys|iJN746:ahcys	0	-76.11	3.14														
cpd00020	Pyruvate|Pyruvic acid|2-Oxopropanoate|2-Oxopropanoic acid|Pyroracemic acid|pyruvate	C3H3O3	C00022	pyr	iJR904:pyr|iAO358:cll_33|iAG612:cbs_8|iAF692:pyr|iSB619:pyr|iAF1260:pyr|iIT341:pyr|iAbaylyiv4:PYRUVATE|iND750:pyr|iYO844:pyr|iPS189:pyr|iNJ661:pyr|iJN746:pyr	-1	-112.69	0.30														
cpd00022	Acetyl-CoA|Acetyl coenzyme A|acetyl-coA|acetyl-CoA|acetyl-coa	C23H35N7O17P3S	C00024	accoa	iJR904:accoa|iAO358:cll_1|iAG612:cbs_68:cbs_96|iAF692:accoa|iSB619:accoa|iAF1260:accoa|iIT341:accoa|iAbaylyiv4:ACETYL-COA|iND750:accoa|iYO844:accoa|iPS189:accoa|iNJ661:accoa|iJN746:accoa	-3	-785.83	3.53														
cpd00023	L-Glutamate|L-Glutamic acid|L-Glutaminic acid|L-glutamate|GLU|Glutamate|l-glutamate|Glutaminic acid|2-Aminoglutaric acid|glutamate|DL-Glutamate|DL-Glutaminic acid	C5H8NO4	C00025|C00302	glu-L	iJR904:glu-L|iAO358:cll_40:cll_193|iAG612:cbs_36:cbs_344|iAF692:glu-L|iSB619:glu-L|iAF1260:glu-L|iIT341:glu_L|iAbaylyiv4:GLT|iND750:glu-L|iYO844:glu-L|iPS189:glu-L|iNJ661:glu-L|iJN746:glu-L	-1	-164.13	0.38														
cpd00024	2-Oxoglutarate|Oxoglutaric acid|2-Ketoglutaric acid|alpha-Ketoglutaric acid|2-oxoglutarate	C5H4O5	C00026	akg	iJR904:akg|iAO358:cll_42|iAG612:cbs_85|iAF692:akg|iSB619:akg|iAF1260:akg|iIT341:akg|iAbaylyiv4:2-KETOGLUTARATE|iND750:akg|iYO844:akg|iPS189:akg|iNJ661:akg|iJN746:akg	-2	-188.90	0.38														
cpd00025	H2O2|Hydrogen peroxide|Oxydol|Hydrogenperoxide|h2o2	H2O2	C00027	h2o2	iJR904:h2o2|iAO358:cll_217|iAG612:cbs_499|iAF692:h2o2|iSB619:h2o2|iAF1260:h2o2|iIT341:h2o2|iAbaylyiv4:HYDROGEN-PEROXIDE|iND750:h2o2|iYO844:h2o2|iPS189:h2o2|iNJ661:h2o2|iJN746:h2o2	0	-32.05	0.50														
cpd00026	UDP-glucose|UDPglucose|UDP-D-glucose|Uridine diphosphate glucose|UDP-alpha-D-glucose|udp-d-glucose	C15H22N2O17P2	C00029	udpg	iJR904:udpg|iAO358:cll_196|iAG612:cbs_522|iAF692:udpg|iSB619:udpg|iAF1260:udpg|iIT341:udpg|iAbaylyiv4:UDP-GLUCOSE|iND750:udpg|iYO844:udpg|iPS189:udpg|iNJ661:udpg|iJN746:udpg	-2	-762.55	3.12														
cpd00027	D-Glucose|Grape sugar|alpha-D-Glucose|Dextrose|alpha-D-glucose|D-glucose|Glucose|glucose	C6H12O6	C00031|C00267|C00293	glc-D	iJR904:glc-D|iAO358:cll_28:cll_276|iAG612:cbs_40:cbs_47:cbs_346|iAF692:glc-D|iSB619:glc-D|iAF1260:glc-D|iIT341:glc_D|iAbaylyiv4:GLC|iND750:glc-D|iYO844:glc-D|iPS189:glc-D|iNJ661:glc-D|iJN746:glc-D	0	-218.28	1.54														
cpd00028	Heme|Haem|Protoheme|Heme B|Protoheme IX|protoheme	C34H30FeN4O4	C00032	pheme	iIT341:pheme|iJR904:pheme|iAbaylyiv4:PROTOHEME|iAG612:cbs_496|iYO844:pheme|iND750:pheme|iNJ661:pheme|iSB619:pheme|iAF1260:pheme|iJN746:pheme	-2	UNKNOWN	UNKNOWN														
cpd00029	Acetate|Acetic acid|Ethanoic acid|Glacial acetic acid|acetate|ACET	C2H3O2	C00033	ac	iJR904:ac|iAO358:cll_7:cll_439|iAG612:cbs_151|iAF692:ac|iSB619:ac|iAF1260:ac|iIT341:ac|iAbaylyiv4:ACET|iND750:ac|iYO844:ac|iPS189:ac|iNJ661:ac|iJN746:ac	-1	-88.29	0.50														
cpd00030	Manganese|Mn2+|Mn(II)|Mn(III)	Mn	C00034	mn2	iAF692:mn2|iYO844:mn2|iPS189:mn2|iSB619:mn2|iAF1260:mn2	2	UNKNOWN	UNKNOWN														
cpd00031	GDP|Guanosine 5'-diphosphate|Guanosine diphosphate|gdp	C10H13N5O11P2	C00035	gdp	iJR904:gdp|iAO358:cll_210|iAG612:cbs_339|iAF692:gdp|iSB619:gdp|iAF1260:gdp|iIT341:gdp|iAbaylyiv4:GDP|iND750:gdp|iYO844:gdp|iPS189:gdp|iNJ661:gdp|iJN746:gdp	-2	-516.30	2.74														
cpd00032	Oxaloacetate|Oxalacetic acid|Oxaloacetic acid|2-Oxobutanedioic acid|Oxosuccinic acid|keto-Oxaloacetate|oxaloacetate	C4H2O5	C00036	oaa	iJR904:oaa|iAO358:cll_79|iAG612:cbs_89:cbs_225|iAF692:oaa|iSB619:oaa|iAF1260:oaa|iIT341:oaa|iAbaylyiv4:OXALACETIC_ACID|iND750:oaa|iYO844:oaa|iNJ661:oaa|iJN746:oaa	-2	-190.52	0.35														
cpd00033	Glycine|Aminoacetic acid|Gly|glycine	C2H5NO2	C00037	gly	iJR904:gly|iAO358:cll_208|iAG612:cbs_67|iAF692:gly|iSB619:gly|iAF1260:gly|iIT341:gly|iAbaylyiv4:GLY|iND750:gly|iYO844:gly|iPS189:gly|iNJ661:gly|iJN746:gly	0	-87.73	0.24														
cpd00034	Zinc|Zn2+|Zn(II)	Zn	C00038	zn2	iAF692:zn2|iYO844:zn2|iPS189:zn2|iSB619:zn2|iAF1260:zn2	2	UNKNOWN	UNKNOWN														
cpd00035	L-Alanine|L-2-Aminopropionic acid|L-alpha-Alanine|L-alanine|ALA|l-alanine	C3H7NO2	C00041	ala-L	iJR904:ala-L|iAO358:cll_138:cll_441|iAG612:cbs_379|iAF692:ala-L|iSB619:ala-L|iAF1260:ala-L|iIT341:ala_L|iAbaylyiv4:L-ALPHA-ALANINE|iND750:ala-L|iYO844:ala-L|iPS189:ala-L|iNJ661:ala-L|iJN746:ala-L	0	-87.92	0.29														
cpd00036	Succinate|Succinic acid|Butanedionic acid|Ethylenesuccinic acid|succinate	C4H4O4	C00042	succ	iJR904:succ|iAO358:cll_187|iAG612:cbs_9|iAF692:succ|iSB619:succ|iAF1260:succ|iIT341:succ|iAbaylyiv4:SUC|iND750:succ|iYO844:succ|iNJ661:succ|iJN746:succ	-2	-162.96	0.28														
cpd00037	UDP-N-acetyl-D-glucosamine|UDP-N-acetylglucosamine|udp-n-acetyl-d-glucosamine	C17H25N3O17P2	C00043	uacgam	iJR904:uacgam|iAO358:cll_203|iAF692:uacgam|iSB619:uacgam|iAF1260:uacgam|iIT341:uacgam|iAbaylyiv4:UDP-N-ACETYL-D-GLUCOSAMINE|iYO844:uacgam|iPS189:uacgam|iNJ661:uacgam|iJN746:uacgam	-2	-756.90	3.24														
cpd00038	GTP|Guanosine 5'-triphosphate|gtp	C10H13N5O14P3	C00044	gtp	iJR904:gtp|iAO358:cll_183|iAG612:cbs_340|iAF692:gtp|iSB619:gtp|iAF1260:gtp|iIT341:gtp|iAbaylyiv4:GTP|iND750:gtp|iYO844:gtp|iPS189:gtp|iNJ661:gtp|iJN746:gtp	-3	-724.30	2.75														
cpd00039	"L-Lysine|Lysine acid|2,6-Diaminohexanoic acid|L-lysine|Lysine|lysine|l-lysine"	C6H15N2O2	C00047|C16440	lys-L	iJR904:lys-L|iAO358:cll_113:cll_258|iAG612:cbs_431|iAF692:lys-L|iSB619:lys-L|iAF1260:lys-L|iIT341:lys_L|iAbaylyiv4:LYS|iND750:lys-L|iYO844:lys-L|iPS189:lys-L|iNJ661:lys-L|iJN746:lys-L	1	-84.04	0.56														
cpd00040	Glyoxylate|Glyoxalate|Glyoxylic acid|glyoxylate	C2HO3	C00048	glx	iIT341:glx|iJR904:glx|iAbaylyiv4:GLYOX|iAG612:cbs_355|iYO844:glx|iND750:glx|iNJ661:glx|iSB619:glx|iAF1260:glx|iJN746:glx	-1	-111.04	0.27														
cpd00041	L-Aspartate|L-Aspartic acid|2-Aminosuccinic acid|L-aspartate|Aspartate|Aspartic acid|aspartate|l-aspartate	C4H6NO4	C00049|C16433	asp-L	iJR904:asp-L|iAO358:cll_35:cll_444|iAG612:cbs_87:cbs_213:cbs_390|iAF692:asp-L|iSB619:asp-L|iAF1260:asp-L|iIT341:asp_L|iAbaylyiv4:L-ASPARTATE|iND750:asp-L|iYO844:asp-L|iPS189:asp-L|iNJ661:asp-L|iJN746:asp-L	-1	-165.75	0.34														
cpd00042	Glutathione|Reduced glutathione|5-L-Glutamyl-L-cysteinylglycine|N-(N-gamma-L-Glutamyl-L-cysteinyl)glycine|gamma-L-Glutamyl-L-cysteinyl-glycine|GSH|Reducedglutathione|glutathione|reduced glutathione	C10H16N3O6S	C00051	gthrd	iJR904:gthrd|iAO358:cll_216|iAF692:gthrd|iSB619:gthrd|iAF1260:gthrd|iIT341:gthrd|iAbaylyiv4:GLUTATHIONE|iND750:gthrd|iYO844:gthrd|iNJ661:gthrd|iJN746:gthrd	-1	-220.95	1.54														
cpd00043	UDP-D-galactose|UDP-galactose|UDP-D-galactopyranose|UDPgalactose|udp-galactose	C15H22N2O17P2	C00052	udpgal	iJR904:udpgal|iAO358:cll_195|iAG612:cbs_188|iAF692:udpgal|iSB619:udpgal|iAF1260:udpgal|iIT341:udpgal|iAbaylyiv4:UDP-GLACTOSE|iND750:udpgal|iYO844:udpgal|iPS189:udpgal|iNJ661:udpgal	-2	-762.55	3.12														
cpd00044	3'-Phosphoadenylyl sulfate|3'-Phosphoadenosine 5'-phosphosulfate|3'-Phospho-5'-adenylyl sulfate|PAPS|3-Phosphoadenylylsulfate|3-phospho-adenylylsulfate|3-phosphoadenylyl sulfate	C10H12N5O13P2S	C00053	paps	iJR904:paps|iAO358:cll_498|iAG612:cbs_117|iAF692:paps|iSB619:paps|iAF1260:paps|iIT341:paps|iND750:paps|iYO844:paps|iNJ661:paps	-3	-580.35	3.11														
cpd00045	"Adenosine 3',5'-bisphosphate|PAP|3'-Phosphoadenylate|Phosphoadenosine phosphate|adenosine 3',5'-bisphosphate|Adenosine3-5-bisphosphate"	C10H13N5O10P2	C00054	pap	iJR904:pap|iAO358:cll_12|iAF692:pap|iSB619:pap|iAF1260:pap|iIT341:pap|iND750:pap|iYO844:pap|iNJ661:pap	-2	-470.35	3.04														
cpd00046	CMP|Cytidine-5'-monophosphate|Cytidylic acid|cmp	C9H13N3O8P	C00055	cmp	iJR904:cmp|iAO358:cll_124|iAG612:cbs_249|iAF692:cmp|iSB619:cmp|iAF1260:cmp|iIT341:cmp|iAbaylyiv4:CMP|iND750:cmp|iYO844:cmp|iPS189:cmp|iNJ661:cmp|iJN746:cmp	-1	-345.38	1.92														
cpd00047	Formate|Methanoic acid|Formic acid|formate|FORM	CHO2	C00058	for	iJR904:for|iAO358:cll_175:cll_456|iAG612:cbs_17|iAF692:for|iSB619:for|iAF1260:for|iIT341:for|iAbaylyiv4:FORMATE|iND750:for|iYO844:for|iNJ661:for|iJN746:for	-1	-83.90	0.50														
cpd00048	Sulfate|Sulfuric acid|sulfate|SLF	O4S	C00059	so4	iJR904:so4|iAO358:cll_400:cll_401|iAG612:cbs_513|iAF692:so4|iSB619:so4|iAF1260:so4|iIT341:so4|iAbaylyiv4:SULFATE|iND750:so4|iYO844:so4|iPS189:so4|iNJ661:so4|iJN746:so4	-2	-177.97	0.50														
cpd00050	FMN|Riboflavin-5-phosphate|Flavin mononucleotide|flavin mononucleotide|fmn	C17H20N4O9P	C00061	fmn	iJR904:fmn|iAO358:cll_353|iAG612:cbs_516|iAF692:fmn|iSB619:fmn|iAF1260:fmn|iIT341:fmn|iAbaylyiv4:FMN|iND750:fmn|iYO844:fmn|iPS189:fmn|iNJ661:fmn|iJN746:fmn	-1	-323.22	2.87														
cpd00051	L-Arginine|(S)-2-Amino-5-guanidinovaleric acid|L-arginine|l-arginine	C6H15N4O2	C00062	arg-L	iJR904:arg-L|iAO358:cll_53|iAG612:cbs_384|iAF692:arg-L|iSB619:arg-L|iAF1260:arg-L|iIT341:arg_L|iAbaylyiv4:ARG|iND750:arg-L|iYO844:arg-L|iPS189:arg-L|iNJ661:arg-L|iJN746:arg-L	1	-73.77	1.56														
cpd00052	CTP|Cytidine 5'-triphosphate|Cytidine triphosphate|ctp	C9H13N3O14P3	C00063	ctp	iJR904:ctp|iAO358:cll_105|iAG612:cbs_227|iAF692:ctp|iSB619:ctp|iAF1260:ctp|iIT341:ctp|iAbaylyiv4:CTP|iND750:ctp|iYO844:ctp|iPS189:ctp|iNJ661:ctp|iJN746:ctp	-3	-761.38	1.93														
cpd00053	L-Glutamine|L-2-Aminoglutaramic acid|L-glutamine|l-glutamine	C5H10N2O3	C00064	gln-L	iJR904:gln-L|iAO358:cll_78|iAG612:cbs_43:cbs_341|iAF692:gln-L|iSB619:gln-L|iAF1260:gln-L|iIT341:gln_L|iAbaylyiv4:GLN|iND750:gln-L|iYO844:gln-L|iPS189:gln-L|iNJ661:gln-L|iJN746:gln-L	0	-121.69	0.61														
cpd00054	L-Serine|L-2-Amino-3-hydroxypropionic acid|L-3-Hydroxy-alanine|L-serine|Serine|l-serine|2-Amino-3-hydroxypropionic acid|3-Hydroxyalanine|serine|DL-Serine	C3H7NO3	C00065|C00716	ser-L	iJR904:ser-L|iAO358:cll_135:cll_488|iAG612:cbs_163:cbs_444|iAF692:ser-L|iSB619:ser-L|iAF1260:ser-L|iIT341:ser_L|iAbaylyiv4:SER|iND750:ser-L|iYO844:ser-L|iPS189:ser-L|iNJ661:ser-L|iJN746:ser-L	0	-124.15	0.31														
cpd00055	Formaldehyde|Methanal|Oxomethane|Oxomethylene|Methylene oxide|Formalin|formaldehyde	CH2O	C00067	fald	iAbaylyiv4:FORMALDEHYDE|iAF692:fald|iYO844:fald|iND750:fald|iNJ661:fald|iSB619:fald|iAF1260:fald|iJN746:fald	0	-31.20	0.50														
cpd00056	Thiamin diphosphate|Thiamine diphosphate|Thiamin pyrophosphate|TPP|ThPP|Thiaminediphosphate	C12H17N4O7P2S	C00068	thmpp	iJR904:thmpp|iAF692:thmpp|iSB619:thmpp|iAF1260:thmpp|iIT341:thmpp|iAbaylyiv4:THIAMINE-PYROPHOSPHATE|iND750:thmpp|iYO844:thmpp|iPS189:thmpp|iNJ661:thmpp	-1	-368.32	2.57														
cpd00058	Copper2|Cu2+|Cu(II)|Cu(II)|Copper1|Cu1+|Cu(I)|Cu+|Copper	Cu	C00070	cu2	iAF692:cu2|iYO844:cu2|iPS189:cu2|iNJ661:cu2|iSB619:cu2|iAF1260:cu:cu2	2	UNKNOWN	UNKNOWN														
cpd00060	L-Methionine|Methionine|L-2-Amino-4methylthiobutyric acid|2-Amino-4-(methylthio)butyric acid|L-methionine|methionine|l-methionine	C5H11NO2S	C00073|C01733	met-L	iJR904:met-L|iAO358:cll_48:cll_472|iAG612:cbs_88:cbs_473|iAF692:met-L|iSB619:met-L|iAF1260:met-L|iIT341:met_L|iAbaylyiv4:MET|iND750:met-L|iYO844:met-L|iPS189:met-L|iNJ661:met-L|iJN746:met-L	0	-75.91	0.82														
cpd00061	Phosphoenolpyruvate|Phosphoenolpyruvic acid|PEP|phosphoenolpyruvate	C3H3O6P	C00074	pep	iJR904:pep|iAO358:cll_67|iAG612:cbs_107|iAF692:pep|iSB619:pep|iAF1260:pep|iIT341:pep|iAbaylyiv4:PHOSPHO-ENOL-PYRUVATE|iND750:pep|iYO844:pep|iPS189:pep|iNJ661:pep|iJN746:pep	-2	-316.08	0.59														
cpd00062	UTP|Uridine 5'-triphosphate|Uridine triphosphate|utp	C9H12N2O15P3	C00075	utp	iJR904:utp|iAO358:cll_200|iAG612:cbs_187|iAF692:utp|iSB619:utp|iAF1260:utp|iIT341:utp|iAbaylyiv4:UTP|iND750:utp|iYO844:utp|iPS189:utp|iNJ661:utp|iJN746:utp	-3	-813.77	1.90														
cpd00063	Calcium|Ca2+|Ca(2+)	Ca	C00076	ca2	iAG612:cbs_246|iAF692:ca2|iYO844:ca2|iPS189:ca2|iNJ661:ca2|iAF1260:ca2	2	UNKNOWN	UNKNOWN														
cpd00064	"L-Ornithine|(S)-2,5-Diaminovaleric acid|(S)-2,5-Diaminopentanoic acid|(S)-2,5-Diaminopentanoate|Ornithine|2,5-Diaminovaleric acid|2,5-Diaminopentanoic acid|2,5-Diaminopentanoate|L-ornithine|ornithine|l-ornithine"	C5H13N2O2	C00077|C01602	orn-L	iJR904:orn|iAO358:cll_57:cll_58|iAG612:cbs_242|iAF692:orn|iSB619:orn|iAF1260:orn|iIT341:orn|iAbaylyiv4:L-ORNITHINE|iND750:orn|iYO844:orn-L|iPS189:orn-L|iNJ661:orn|iJN746:orn	1	-85.66	0.51														
cpd00065	L-Tryptophan|Tryptophan|(S)-alpha-Amino-beta-(3-indolyl)-propionic acid|alpha-Amino-beta-(3-indolyl)-propionic acid|L-tryptophan|tryptophan|l-tryptophan	C11H12N2O2	C00078|C00806	trp-L	iJR904:trp-L|iAO358:cll_46:cll_493|iAG612:cbs_447:cbs_521|iAF692:trp-L|iSB619:trp-L|iAF1260:trp-L|iIT341:trp_L|iAbaylyiv4:TRP|iND750:trp-L|iYO844:trp-L|iPS189:trp-L|iNJ661:trp-L|iJN746:trp-L	0	-25.00	1.58														
cpd00066	L-Phenylalanine|(S)-alpha-Amino-beta-phenylpropionic acid|L-phenylalanine|l-phenylalanine	C9H11NO2	C00079	phe-L	iJR904:phe-L|iAO358:cll_43|iAG612:cbs_437|iAF692:phe-L|iSB619:phe-L|iAF1260:phe-L|iIT341:phe_L|iAbaylyiv4:PHE|iND750:phe-L|iYO844:phe-L|iPS189:phe-L|iNJ661:phe-L|iJN746:phe-L	0	-51.05	0.83														
cpd00067	H+|h+	H	C00080	h	iJR904:h|iAO358:cll_20|iAG612:cbs_24|iAF692:h|iSB619:h|iAF1260:h|iIT341:h|iAbaylyiv4:PROTON|iND750:h|iYO844:h|iPS189:h|iNJ661:h|iJN746:h	1	-9.53	0.00														
cpd00068	ITP|Inosine 5'-triphosphate|Inosine triphosphate|Inosine tripolyphosphate	C10H12N4O14P3	C00081	itp	iJR904:itp|iAG612:cbs_367|iAF692:itp|iSB619:itp|iAF1260:itp|iND750:itp|iYO844:itp|iPS189:itp|iNJ661:itp	-3	-729.58	2.75														
cpd00069	L-Tyrosine|(S)-3-(p-Hydroxyphenyl)alanine|(S)-2-Amino-3-(p-hydroxyphenyl)propionic acid|L-tyrosine|Tyrosine|l-tyrosine|3-(p-Hydroxyphenyl)alanine|2-Amino-3-(p-hydroxyphenyl)propionic acid|tyrosine|DL-Tyrosine	C9H11NO3	C00082|C01536	tyr-L	iJR904:tyr-L|iAO358:cll_41:cll_494|iAG612:cbs_126|iAF692:tyr-L|iSB619:tyr-L|iAF1260:tyr-L|iIT341:tyr_L|iAbaylyiv4:TYR|iND750:tyr-L|iYO844:tyr-L|iPS189:tyr-L|iNJ661:tyr-L|iJN746:tyr-L	0	-90.53	0.90														
cpd00070	Malonyl-CoA|Malonyl coenzyme A|malonyl-CoA|malonyl-coa	C24H34N7O19P3S	C00083	malcoa	iJR904:malcoa|iAO358:cll_5|iAG612:cbs_158|iSB619:malcoa|iAF1260:malcoa|iIT341:malcoa|iAbaylyiv4:MALONYL-COA|iND750:malcoa|iYO844:malcoa|iNJ661:malcoa|iJN746:malcoa	-4	-863.66	3.54														
cpd00071	Acetaldehyde|Ethanal|acetaldehyde|AALD	C2H4O	C00084	acald	iJR904:acald|iAO358:cll_18:cll_438|iAG612:cbs_149|iAF692:acald|iSB619:acald|iAF1260:acald|iIT341:acald|iAbaylyiv4:ACETALD|iND750:acald|iYO844:acald|iPS189:acald|iNJ661:acald|iJN746:acald	0	-33.40	0.50														
