REACTION ID	NAME	REACTION DEFINITION	REACTION EQUATION	ENZYME	ASSOCIATED PEG	SUBSYSTEM CLASS	REACTION CLASS	KEGG	STATUS IN Oh et al model	MODEL IDs	DELTAG (kcal/mol)	DELTAGERR (kcal/mol)	MMDELTAG (kcal/mol)	PREDICTED DIRECTIONALITY	THERMODYNAMIC CLASS
rxn00065	ATP pyrophosphate-lyase (cyclizing)|adenylate cyclase	ATP => PPi + cAMP	cpd00002 => cpd00012 + cpd00446	4.6.1.1	peg.1159	Nucleosides and Nucleotides	Blocked	R00089	NOT IN MODEL	iJR904:ADNCYC|iAF692:ADNCYC|iND750:ADNCYC|iNJ661:ADNCYC|iAF1260:ADNCYC|iJN746:ADNCYC	1.05	2.18	-3.05	=>	IRREVERSIBLE BY POINTS
rxn00077	ATP:NAD+ 2'-phosphotransferase|NAD kinase|NAD kinase, mitochondrial|ATP:NAD+ 2'-phosphotransferase|NADK|NADkinase|nad(+) kinase	ATP + NAD <=> ADP + TPN	cpd00002 + cpd00003 <=> cpd00008 + cpd00006	2.7.1.23	peg.1162	Cofactors, Vitamins, Prosthetic Groups, Pigments	Variable	R00104	NADK	iJR904:NADK|iAO358:rll_333|iAF692:NADK|iSB619:NADK|iAF1260:NADK|iIT341:NADK|iAbaylyiv4:NAD-KIN-RXN|iND750:NADKm:NADK|iYO844:NADK|iPS189:NADK|iNJ661:NADK|iJN746:NADK	-4.50	0.24	-4.50	<=>	REVERSIBLE BY POINTS
rxn00085	L-Glutamate:NADP+ oxidoreductase (transaminating)|glutamate synthase (NADPH)|glutamate synthase (NADPH) large chain|glutamate synthase (NADPH) small chain|glutamate synthase (nadph)	TPN + 2 GLU <=> H+ + TPNH + L-Glutamine + 2-Oxoglutarate	cpd00006 + 2 cpd00023 <=> cpd00067 + cpd00005 + cpd00053 + cpd00024	1.4.1.13	peg.1848+peg.1849	Amino Acids and Derivatives	Variable	R00114	GLUSy	iJR904:GLUSy|iAbaylyiv4:GLUTAMATESYN-RXN|iAO358:rll_170:rll_171|iAG612:rbs_395|iYO844:GLUSy|iNJ661:GLUSy|iAF1260:GLUSy|iJN746:GLUSy	13.41	1.25	13.41	<=>	REVERSIBLE BY POINTS
rxn00097	ATP:AMP phosphotransferase|adenylate kinase|adenylate kinase, mitochondrial|ATP:AMP phosphotransferase|ADK1|adenylatekinase	ATP + AMP <=> 2 ADP	cpd00002 + cpd00018 <=> 2 cpd00008	2.7.4.3	peg.137	Nucleosides and Nucleotides	Positive	R00127	ADK1	iJR904:ADK1|iAG612:rbs_148|iAF692:ADK1|iSB619:ADK1|iAF1260:ADK1|iIT341:ADK1|iAbaylyiv4:ADENYL-KIN-RXN|iND750:ADK1m:ADK1|iYO844:ADK1|iPS189:ADK1|iNJ661:ADK1|iJN746:ADK1	0.00	2.00	0.00	<=>	REVERSIBLE BY MM DELTAG
rxn00100	ATP:dephospho-CoA 3'-phosphotransferase|dephospho-CoA kinase|dephospho-CoA kinase, mitochondrial|ATP:dephospho-CoA 3'-phosphotransferase|DPCOAK|dephospho-CoAkinase|dephospho-coa kinase	ATP + Dephospho-CoA => ADP + CoA	cpd00002 + cpd00655 => cpd00008 + cpd00010	2.7.1.24	peg.2909	Cofactors, Vitamins, Prosthetic Groups, Pigments	Positive	R00130	DPCOAK	iJR904:DPCOAK|iAO358:rll_475|iAF692:DPCOAK|iSB619:DPCOAK|iAF1260:DPCOAK|iIT341:DPCOAK|iAbaylyiv4:DEPHOSPHOCOAKIN-RXN|iND750:DPCOAKm:DPCOAK|iYO844:DPCOAK|iNJ661:DPCOAK|iJN746:DPCOAK	-4.50	0.24	-4.50	=>	IRREVERSIBLE BY POINTS
rxn00101	Urea amidohydrolase|urease|Urea amidohydrolase|UREA	2 H+ + H2O + Urea => CO2 + 2 NH3	2 cpd00067 + cpd00001 + cpd00073 => cpd00011 + 2 cpd00013	3.5.1.5	peg.3671+peg.3672+peg.3673	Cofactors, Vitamins, Prosthetic Groups, Pigments	Positive variable	R00131	UREA2	iIT341:UREA|iAbaylyiv4:UREASE-RXN|iAG612:rbs_582|iYO844:UREA2|iNJ661:UREA|iSB619:UREA|iJN746:UREA	-5.75	1.32	-15.32	=>	IRREVERSIBLE BY DELTAG MINMAX
rxn00102	Carbonic acid hydro-lyase|HCO3 equilibration reaction|HCO3 equilibrium reaction, nuclear|HCO3 equilibration reaction, mitochondrial|carbonate dehydratase (HCO3 equilibration reaction)|Carbonic acid hydro-lyase|carboxylic acid dissociation|HCO3E|H2CO3D|HCO3equilibrationreaction|carboxylicaciddissociation|dissolution of carbon dioxide	HCO3- + H+ <=> H2O + CO2	cpd00242 + cpd00067 <=> cpd00001 + cpd00011	4.2.1.1	peg.3072|peg.3473	Carbohydrates	Variable	R00132	HCO3E	iJR904:HCO3E|iAF692:HCO3E|iSB619:HCO3E|iAF1260:HCO3E|iIT341:HCO3E:H2CO3D|iAbaylyiv4:CO2-DISS-RXN|iND750:HCO3En:HCO3Em:HCO3E|iYO844:HCO3E|iNJ661:HCO3E:H2CO3D|iJN746:H2CO3D:HCO3E	0.84	0.87	-0.52	<=>	REVERSIBLE BY MM DELTAG
rxn00105	ATP:nicotinamide-nucleotide adenylyltransferase|nicotinamide-nucleotide adenylyltransferase|nicotinamide-nucleotide adenylyltransferase, mitochondrial|ATP:nicotinamide-nucleotide adenylyltransferase|NMNAT|nicotinamide-nucleotideadenylyltransferase	ATP + NMN <=> NAD + PPi	cpd00002 + cpd00355 <=> cpd00003 + cpd00012	2.7.7.1|2.7.7.18	peg.2567	Cofactors, Vitamins, Prosthetic Groups, Pigments	Negative variable	R00137	NMNATr	iJR904:NMNAT|iAO358:rll_477|iAF692:NMNAT|iAF1260:NMNAT|iIT341:NMNAT|iAbaylyiv4:2.7.7.1-RXN|iND750:NMNAT:NMNATm|iYO844:NMNATr|iPS189:NMNATr	1.07	0.75	1.07	<=>	REVERSIBLE BY MM DELTAG
rxn00117	ATP:nucleoside-diphosphate phosphatransferase|nucleoside-diphosphate kinase (ATP:UDP)|ATP:nucleoside-diphosphate phosphatransferase|NDPK2|nucleoside-diphosphatekinase-ATP-UDP|udp kinase	ATP + UDP <=> ADP + UTP	cpd00002 + cpd00014 <=> cpd00008 + cpd00062	2.7.4.6	peg.2277	Nucleosides and Nucleotides	Variable	R00156	NDPK2	iJR904:NDPK2|iAO358:rll_572|iAG612:rbs_571|iAF692:NDPK2|iSB619:NDPK2|iAF1260:NDPK2|iIT341:NDPK2|iAbaylyiv4:UDPKIN-RXN|iND750:NDPK2|iYO844:NDPK2|iPS189:NDPK2|iNJ661:NDPK2|iJN746:NDPK2	0.00	2.00	0.00	<=>	REVERSIBLE BY MM DELTAG
rxn00119	ATP:nucleoside-phosphate phosphotransferase|UMP kinase|UMP kinase, nuclear|uridylate kinase (UMP)|ATP:nucleoside-phosphate phosphotransferase|UMPK|UMP-kinase|UMPkinase|ump kinase	ATP + UMP <=> ADP + UDP	cpd00002 + cpd00091 <=> cpd00008 + cpd00014	2.7.4.4|2.7.4.14|2.7.4.22	peg.1654	Nucleosides and Nucleotides	Positive	R00158	URIDK1	iJR904:UMPK|iAO358:rll_387|iAG612:rbs_574:rbs_575|iAF692:UMPK:URIDK1|iSB619:UMPK|iAF1260:UMPK|iIT341:UMPK|iAbaylyiv4:UMPKI-RXN|iND750:UMPKn:UMPK|iYO844:URIDK1|iPS189:URIDK1|iNJ661:URIDK1:UMPK|iJN746:UMPK	0.00	2.00	0.00	<=>	REVERSIBLE BY MM DELTAG
rxn00122	ATP:FMN adenylyltransferase|FMN adenylyltransferase|FMN adenylyltransferase, mitochondrial|ATP:FMN adenylyltransferase|FMNAT|FMNadenylyltransferase|fmn adenylyltransferase	ATP + FMN => PPi + FAD	cpd00002 + cpd00050 => cpd00012 + cpd00015	2.7.7.2	peg.1670	Cofactors, Vitamins, Prosthetic Groups, Pigments	Blocked	R00161	FMNATr	iJR904:FMNAT|iAO358:rll_396|iSB619:FMNAT|iAF1260:FMNAT|iIT341:FMNAT|iAbaylyiv4:FADSYN-RXN|iND750:FMNATm:FMNAT|iYO844:FMNATr|iPS189:FMNATr|iNJ661:FMNAT|iJN746:FMNAT	-13.23	0.82	-13.23	=>	IRREVERSIBLE BY DELTAG MINMAX
rxn00126	ATP:L-methione S-adenosyltransferase|methionine adenosyltransferase|ATP:L-methione S-adenosyltransferase|METAT|S-adenosylmethionine synthetase|methionineadenosyltransferase	ATP + H2O + Methionine => Phosphate + PPi + SAM	cpd00002 + cpd00001 + cpd00060 => cpd00009 + cpd00012 + cpd00017	2.5.1.6	peg.3058	Amino Acids and Derivatives	Positive	R00177	METAT	iJR904:METAT|iAO358:rll_251|iAG612:rbs_185|iAF692:METAT|iSB619:METAT|iAF1260:METAT|iIT341:METAT|iAbaylyiv4:S-ADENMETSYN-RXN|iND750:METAT|iYO844:METAT|iPS189:METAT|iNJ661:METAT|iJN746:METAT	-3.09	2.36	-7.19	=>	IRREVERSIBLE BY POINTS
rxn00127	S-Adenosyl-L-methionine carboxy-lyase|adenosylmethionine decarboxylase|Adenosylmethionine decarboxylase|S-Adenosyl-L-methionine carboxy-lyase|ADMDCr|Adenosylmethioninedecarboxylase	H+ + SAM => CO2 + S-Adenosylmethioninamine	cpd00067 + cpd00017 => cpd00011 + cpd00837	4.1.1.50	peg.2904	Amino Acids and Derivatives	Blocked	R00178	ADMDC	iIT341:ADMDCr|iJR904:ADMDCr|iYO844:ADMDC|iND750:ADMDC|iNJ661:ADMDCr|iSB619:ADMDCr|iAF1260:ADMDC	-3.09	0.54	-8.55	=>	IRREVERSIBLE BY DELTAG MINMAX
rxn00132	Adenosine 5'-monophosphate phosphohydrolase|5'-nucleotidase (AMP)|nucleotidase|amp nucleotidase	AMP + H2O => Phosphate + H+ + Adenosine	cpd00018 + cpd00001 => cpd00009 + cpd00067 + cpd00182	3.1.3.5	peg.784|peg.733	Nucleosides and Nucleotides	Positive variable	R00183	NTD7	iJR904:NTD7|iAbaylyiv4:AMP-DEPHOSPHORYLATION-RXN|iAO358:rll_291|iYO844:NTD7|iND750:NTD7|iNJ661:NTD7|iAF1260:NTD7:NTD7pp|iJN746:NTD7:NTD7pp	-2.32	0.74	-6.42	=>	IRREVERSIBLE BY POINTS
rxn00137	Adenosine 3',5'-bisphosphate 3'(2')-phosphohydrolase|3',5'-bisphosphate nucleotidase|Adenosine 3',5'-bisphosphate 3'(2')-phosphohydrolase|BPNT|3-5-bisphosphatenucleotidase	H2O + PAP => Phosphate + H+ + AMP	cpd00001 + cpd00045 => cpd00009 + cpd00067 + cpd00018	3.1.3.7	MANUAL	Amino Acids and Derivatives	Positive	R00188	NOT IN MODEL	iIT341:BPNT|iJR904:BPNT|iND750:BPNT|iNJ661:BPNT|iSB619:BPNT|iAF1260:BPNT	-2.32	0.74	-6.42	=>	IRREVERSIBLE BY POINTS
rxn00138	Deamino-NAD+:ammonia ligase (AMP-forming)|NAD synthase (nh3)|NAD synthase (nh3), mitochondrial|NAD synthase (nh4)|Deamino-NAD+:ammonia ligase (AMP-forming)|NADS1|NADsynthase-nh3	ATP + NH3 + Deamido-NAD => NAD + PPi + AMP	cpd00002 + cpd00013 + cpd00638 => cpd00003 + cpd00012 + cpd00018	6.3.1.5	peg.314	Cofactors, Vitamins, Prosthetic Groups, Pigments	Positive	R00189	NADS1	iIT341:NADS1|iJR904:NADS1|iAF692:NADS1|iYO844:NADS1|iND750:NADS1m:NADS1|iPS189:NADS1|iSB619:NADS1|iAF1260:NADS1	-3.52	0.91	-3.52	=>	IRREVERSIBLE BY POINTS
rxn00139	AMP:pyrophosphate phosphoribosyltransferase|adenine phosphoribosyltransferase|AMP:pyrophosphate phosphoribosyltransferase|ADPT|adeninephosphoribosyltransferase	PPi + AMP <= Adenine + PRPP	cpd00012 + cpd00018 <= cpd00128 + cpd00103	2.4.2.7|2.4.2.8	peg.2764	Nucleosides and Nucleotides	Negative variable	R00190	ADPT	iJR904:ADPT|iAO358:rll_19|iAG612:rbs_123|iAF692:ADPT|iSB619:ADPT|iAF1260:ADPT|iIT341:ADPT|iAbaylyiv4:ADENPRIBOSYLTRAN-RXN|iND750:ADPT|iYO844:ADPT|iPS189:ADPT|iNJ661:ADPT|iJN746:ADPT	3.01	0.98	3.01	<=	IRREVERSIBLE BY POINTS
rxn00141	S-Adenosyl-L-homocysteine hydrolase|adenosylhomocysteinase|Adenosylhomocysteinase	H2O + S-Adenosylhomocysteine <=> L-Homocysteine + Adenosine	cpd00001 + cpd00019 <=> cpd00135 + cpd00182	3.3.1.1	GROWMATCH	Amino Acids and Derivatives	Variable	R00192	NOT IN MODEL	iJR904:AHC|iAbaylyiv4:ADENOSYLHOMOCYSTEINASE-RXN|iAO358:rll_581|iAF692:AHC|iND750:AHCi|iNJ661:AHC	5.67	1.10	1.57	<=>	REVERSIBLE BY MM DELTAG
rxn00143	S-Adenosyl-L-homocysteine homocysteinylribohydrolase|S-adenosylhomocysteine nucleosidase|adenosylhomocysteine nucleosidase|S-Adenosyl-L-homocysteine homocysteinylribohydrolase|AHCYSNS|S-adenosylhomocysteinenucleosidase	H2O + S-Adenosylhomocysteine <=> Adenine + S-Ribosylhomocysteine	cpd00001 + cpd00019 <=> cpd00128 + cpd02227	3.2.2.9	peg.2730	Cofactors, Vitamins, Prosthetic Groups, Pigments	Variable	R00194	AHCYSNS	iIT341:AHCYSNS|iJR904:AHCYSNS|iAbaylyiv4:ADENOSYLHOMOCYSTEINE-NUCLEOSIDASE-RXN|iAG612:rbs_542|iYO844:AHCYSNS|iNJ661:AHCYSNS|iSB619:AHCYSNS|iAF1260:AHCYSNS	-0.73	0.96	-4.83	<=>	REVERSIBLE BY POINTS
rxn00147	ATP:pyruvate,water phosphotransferase|phosphoenolpyruvate synthase|ATP:pyruvate,water phosphotransferase|PPS|phosphoenolpyruvatesynthase|pyruvate,water dikinase	ATP + H2O + Pyruvate => Phosphate + H+ + AMP + PEP	cpd00002 + cpd00001 + cpd00020 => cpd00009 + cpd00067 + cpd00018 + cpd00061	2.7.9.2	peg.1886	Carbohydrates	Positive variable	R00199	PPS	iIT341:PPS|iJR904:PPS|iAbaylyiv4:PEPSYNTH-RXN|iAF692:PPS|iYO844:PPS|iAF1260:PPS|iJN746:PPS	-2.21	0.99	-6.31	=>	IRREVERSIBLE BY POINTS
rxn00148	ATP:pyruvate O2-phosphotransferase|pyruvate kinase	ATP + Pyruvate <=> ADP + PEP	cpd00002 + cpd00020 <=> cpd00008 + cpd00061	2.7.1.40	peg.2921	Carbohydrates	Variable	R00200	PYK	iJR904:PYK|iAO358:rll_381|iAG612:rbs_135|iAF692:PYK|iSB619:PYK|iAF1260:PYK|iND750:PYK|iYO844:PYK|iPS189:PYK|iNJ661:PYK|iJN746:PYK	4.61	0.65	4.61	<=>	REVERSIBLE BY POINTS
rxn00152	Pyruvate:oxygen 2-oxidoreductase (phosphorylating)	Phosphate + 2 H+ + O2 + Pyruvate => Acetylphosphate + CO2 + H2O2	cpd00009 + 2 cpd00067 + cpd00007 + cpd00020 => cpd00196 + cpd00011 + cpd00025	1.2.3.3	peg.434	Carbohydrates	Positive variable	R00207	NOT IN MODEL		-36.16	1.07	-33.42	=>	IRREVERSIBLE BY DELTAG MINMAX
rxn00159	(S)-Malate:NADP+ oxidoreductase(oxaloacetate-decarboxylating)|malic enzyme (NAD)|malic enzyme (NAD), mitochondrial|(S)-Malate:NADP+ oxidoreductase(oxaloacetate-decarboxylating)|malic enzyme|ME1_rev|malate oxidoreductase|malicenzyme|malate dehydrogenase (oxaloacetate decarboxylating)	NAD + MALA => NADH + CO2 + Pyruvate	cpd00003 + cpd00130 => cpd00004 + cpd00011 + cpd00020	1.1.1.38|1.1.1.39|1.1.1.40|4.1.1.3	peg.2360|peg.2991|peg.3712	Carbohydrates	Positive variable	R00214	NOT IN MODEL	iJR904:ME1|iAO358:rll_234|iAG612:rbs_437:rbs_438:rbs_439|iAF692:ME1_rev|iSB619:ME1_rev|iAF1260:ME1|iIT341:ME1_rev|iAbaylyiv4:MALIC-NAD-RXN|iND750:ME1m|iNJ661:ME1|iJN746:ME1	1.32	1.22	-4.14	=>	IRREVERSIBLE BY POINTS
rxn00160	(R)-Malate:NAD+ oxidoreductase (decarboxylating)|malate decarboxylating oxidoreductase (decarboxylating)|D-malate dehydrogenase (NAD)	NAD + D-Malate => NADH + CO2 + Pyruvate	cpd00003 + cpd00386 => cpd00004 + cpd00011 + cpd00020	1.1.1.83	peg.401	Carbohydrates	Blocked	R00215	ME1x_D	iYO844:ME1x_D|iAF1260:MALDDH	1.32	1.22	-4.14	=>	IRREVERSIBLE BY POINTS
rxn00161	(S)-Malate:NADP+ oxidoreductase(oxaloacetate-decarboxylating)|malic enzyme (NADP)|malic enzyme (NADP), mitochondrial|malate dehydrogenase (oxaloacetate decarboxylating) (nadp+)	TPN + MALA => TPNH + CO2 + Pyruvate	cpd00006 + cpd00130 => cpd00005 + cpd00011 + cpd00020	1.1.1.38|1.1.1.39|1.1.1.40|4.1.1.3	peg.2925	Carbohydrates	Positive variable	R00216	ME2	iJR904:ME2|iAbaylyiv4:MALIC-NADP-RXN|iAG612:rbs_440|iYO844:ME2|iND750:ME2m|iAF1260:ME2	1.32	1.22	-4.14	=>	IRREVERSIBLE BY POINTS
rxn00165	L-serine ammonia-lyase|L-serine deaminase|L-serine ammonia-lyase|L-serine deaminase (rev)|SERD_L|L-serine dehydratase alpha subunit|L-serinedeaminase|Serine ammonia-lyase	Serine => Pyruvate + NH3	cpd00054 => cpd00020 + cpd00013	4.3.1.17|4.3.1.19|Undetermined	peg.1587+peg.1588	Amino Acids and Derivatives	Positive variable	R00220|R00223	SERD_L	iIT341:SERD_L|iJR904:SERD_L|iAO358:rll_406|iAG612:rbs_424|iYO844:SERD_L|iND750:SERD_L|iNJ661:SERD_L|iSB619:SERD_Lr|iAF1260:SERD_L|iJN746:SERD_Lr:SER_AL	-7.51	0.64	-11.61	=>	IRREVERSIBLE BY DELTAG MINMAX
rxn00166	D-serine ammonia-lyase|D-serine deaminase|d-serine dehydratase	D-Serine => Pyruvate + NH3	cpd00550 => cpd00020 + cpd00013	4.3.1.18	peg.2382	Amino Acids and Derivatives	Blocked	R00221	SERD_D	iJR904:SERD_D|iAbaylyiv4:DSERDEAM-RXN|iYO844:SERD_D|iNJ661:SERD_D|iAF1260:SERD_D	-7.51	0.64	-11.61	=>	IRREVERSIBLE BY DELTAG MINMAX
rxn00173	Acetyl-CoA:orthophosphate acetyltransferase|phosphotransacetylase|Acetyl-CoA:orthophosphate acetyltransferase|PTAr|phosphate acetyltransferase	Phosphate + H+ + Acetyl-CoA <=> Acetylphosphate + CoA	cpd00009 + cpd00067 + cpd00022 <=> cpd00196 + cpd00010	2.3.1.8	peg.3772	Carbohydrates	Variable	R00230	PTAr	iJR904:PTAr|iAO358:rll_342|iAG612:rbs_118|iAF692:PTAr|iSB619:PTAr|iAF1260:PTAr|iIT341:PTAr|iAbaylyiv4:PHOSACETYLTRANS-RXN|iYO844:PTAr|iPS189:PTAr|iNJ661:PTAr|iJN746:PTAr	3.69	1.23	3.69	<=>	REVERSIBLE BY POINTS
rxn00175	Acetate:CoA ligase (AMP-forming)|acetyl-CoA synthetase|acetyl-CoA synthetase, mitochondrial|Acetate:CoA ligase (AMP-forming)|ACS|acetyl-CoAsynthetase|acetate--coa ligase|acetyl-CoA synthetase reversible	ATP + H+ + ACET + CoA => Acetyl-CoA + PPi + AMP	cpd00002 + cpd00067 + cpd00029 + cpd00010 => cpd00022 + cpd00012 + cpd00018	6.2.1.1	peg.2959|peg.2971	Carbohydrates	Positive variable	R00235	ACS	iIT341:ACS|iJR904:ACS|iAbaylyiv4:ACETATE--COA-LIGASE-RXN|iAG612:rbs_105|iYO844:ACS|iND750:ACSp:ACSm:ACS|iNJ661:ACS|iSB619:ACS|iAF1260:ACS|iJN746:ACSr	-0.95	1.33	-0.95	<=>	REVERSIBLE BY MM DELTAG
