Unoptimized model						Gap filled model						Optimized model				
False negatives	False positives	Correct negatives	Correct positives			False negatives	False positives	Correct negatives	Correct positives			False negatives	False positives	Correct negatives	Correct positives	
Correct positive	Gene KO	ArgonneLBMedia	peg.1189	"rxn00950,rxn00566"		Correct positive	Gene KO	ArgonneLBMedia	peg.1189	"rxn00950,rxn00566"		Correct positive	Gene KO	ArgonneLBMedia	peg.1189	"rxn00950,rxn00566"
Correct positive	Gene KO	ArgonneLBMedia	peg.1202	rxn05610		Correct positive	Gene KO	ArgonneLBMedia	peg.1202	rxn05610		Correct positive	Gene KO	ArgonneLBMedia	peg.1202	rxn05610
Correct positive	Gene KO	ArgonneLBMedia	peg.1203			Correct positive	Gene KO	ArgonneLBMedia	peg.1203			Correct positive	Gene KO	ArgonneLBMedia	peg.1203	
Correct positive	Gene KO	ArgonneLBMedia	peg.1209			Correct positive	Gene KO	ArgonneLBMedia	peg.1209			Correct positive	Gene KO	ArgonneLBMedia	peg.1209	
Correct positive	Gene KO	ArgonneLBMedia	peg.1230			Correct positive	Gene KO	ArgonneLBMedia	peg.1230			Correct positive	Gene KO	ArgonneLBMedia	peg.1230	
Correct positive	Gene KO	ArgonneLBMedia	peg.1231	"rxn01457,rxn01080"		Correct positive	Gene KO	ArgonneLBMedia	peg.1231	"rxn01457,rxn01080"		Correct positive	Gene KO	ArgonneLBMedia	peg.1231	"rxn01457,rxn01080"
Correct positive	Gene KO	ArgonneLBMedia	peg.1232	rxn05612		Correct positive	Gene KO	ArgonneLBMedia	peg.1232	rxn05612		Correct positive	Gene KO	ArgonneLBMedia	peg.1232	rxn05612
Correct positive	Gene KO	ArgonneLBMedia	peg.1233			Correct positive	Gene KO	ArgonneLBMedia	peg.1233			Correct positive	Gene KO	ArgonneLBMedia	peg.1233	
Correct positive	Gene KO	ArgonneLBMedia	peg.1235	rxn03885		Correct positive	Gene KO	ArgonneLBMedia	peg.1235	rxn03885		Correct positive	Gene KO	ArgonneLBMedia	peg.1235	rxn03885
Correct positive	Gene KO	ArgonneLBMedia	peg.1236	rxn01775		Correct positive	Gene KO	ArgonneLBMedia	peg.1236	rxn01775		Correct positive	Gene KO	ArgonneLBMedia	peg.1236	rxn01775
Correct positive	Gene KO	ArgonneLBMedia	peg.1237	"rxn05574,rxn05673"		Correct positive	Gene KO	ArgonneLBMedia	peg.1237	"rxn05574,rxn05673"		Correct positive	Gene KO	ArgonneLBMedia	peg.1237	"rxn05574,rxn05673"
Correct positive	Gene KO	ArgonneLBMedia	peg.1239	rxn01857		Correct positive	Gene KO	ArgonneLBMedia	peg.1239	rxn01857		Correct positive	Gene KO	ArgonneLBMedia	peg.1239	rxn01857
Correct positive	Gene KO	ArgonneLBMedia	peg.1240	rxn01122		Correct positive	Gene KO	ArgonneLBMedia	peg.1240	rxn01122		Correct positive	Gene KO	ArgonneLBMedia	peg.1240	rxn01122
Correct positive	Gene KO	ArgonneLBMedia	peg.1286	rxn05312		Correct positive	Gene KO	ArgonneLBMedia	peg.1286	rxn05312		Correct positive	Gene KO	ArgonneLBMedia	peg.1286	rxn05312
Correct positive	Gene KO	ArgonneLBMedia	peg.1293			Correct positive	Gene KO	ArgonneLBMedia	peg.1293			Correct positive	Gene KO	ArgonneLBMedia	peg.1293	
Correct positive	Gene KO	ArgonneLBMedia	peg.1294	rxn07466		Correct positive	Gene KO	ArgonneLBMedia	peg.1294	rxn07466		Correct positive	Gene KO	ArgonneLBMedia	peg.1294	rxn07466
Correct positive	Gene KO	ArgonneLBMedia	peg.1295	"rxn05536,rxn05544,rxn05534,rxn05539,rxn05541,rxn05547,rxn05546,rxn05537,rxn05542,rxn05535,rxn05543,rxn05533,rxn05545,rxn05538,rxn05540"		Correct positive	Gene KO	ArgonneLBMedia	peg.1295	"rxn05536,rxn05544,rxn05534,rxn05539,rxn05541,rxn05547,rxn05546,rxn05537,rxn05542,rxn05535,rxn05543,rxn05533,rxn05545,rxn05538,rxn05540"		Correct positive	Gene KO	ArgonneLBMedia	peg.1295	"rxn05536,rxn05544,rxn05534,rxn05539,rxn05541,rxn05547,rxn05546,rxn05537,rxn05542,rxn05535,rxn05543,rxn05533,rxn05545,rxn05538,rxn05540"
Correct positive	Gene KO	ArgonneLBMedia	peg.1296	"rxn05536,rxn05544,rxn05534,rxn05539,rxn05541,rxn05547,rxn05546,rxn05537,rxn05542,rxn05535,rxn05543,rxn05533,rxn05545,rxn05538,rxn05540"		Correct positive	Gene KO	ArgonneLBMedia	peg.1296	"rxn05536,rxn05544,rxn05534,rxn05539,rxn05541,rxn05547,rxn05546,rxn05537,rxn05542,rxn05535,rxn05543,rxn05533,rxn05545,rxn05538,rxn05540"		Correct positive	Gene KO	ArgonneLBMedia	peg.1296	"rxn05536,rxn05544,rxn05534,rxn05539,rxn05541,rxn05547,rxn05546,rxn05537,rxn05542,rxn05535,rxn05543,rxn05533,rxn05545,rxn05538,rxn05540"
Correct positive	Gene KO	ArgonneLBMedia	peg.1297	"rxn05536,rxn05544,rxn05534,rxn05539,rxn05541,rxn05547,rxn05546,rxn05537,rxn05542,rxn05535,rxn05543,rxn05533,rxn05545,rxn05538,rxn05540"		Correct positive	Gene KO	ArgonneLBMedia	peg.1297	"rxn05536,rxn05544,rxn05534,rxn05539,rxn05541,rxn05547,rxn05546,rxn05537,rxn05542,rxn05535,rxn05543,rxn05533,rxn05545,rxn05538,rxn05540"		Correct positive	Gene KO	ArgonneLBMedia	peg.1297	"rxn05536,rxn05544,rxn05534,rxn05539,rxn05541,rxn05547,rxn05546,rxn05537,rxn05542,rxn05535,rxn05543,rxn05533,rxn05545,rxn05538,rxn05540"
Correct positive	Gene KO	ArgonneLBMedia	peg.1298	"rxn05536,rxn05544,rxn05534,rxn05539,rxn05541,rxn05547,rxn05546,rxn05537,rxn05542,rxn05535,rxn05543,rxn05533,rxn05545,rxn05538,rxn05540"		Correct positive	Gene KO	ArgonneLBMedia	peg.1298	"rxn05536,rxn05544,rxn05534,rxn05539,rxn05541,rxn05547,rxn05546,rxn05537,rxn05542,rxn05535,rxn05543,rxn05533,rxn05545,rxn05538,rxn05540"		Correct positive	Gene KO	ArgonneLBMedia	peg.1298	"rxn05536,rxn05544,rxn05534,rxn05539,rxn05541,rxn05547,rxn05546,rxn05537,rxn05542,rxn05535,rxn05543,rxn05533,rxn05545,rxn05538,rxn05540"
Correct positive	Gene KO	ArgonneLBMedia	peg.1300	rxn08100		Correct positive	Gene KO	ArgonneLBMedia	peg.1300	rxn08100		Correct positive	Gene KO	ArgonneLBMedia	peg.1300	rxn08100
Correct positive	Gene KO	ArgonneLBMedia	peg.1303	rxn01476		Correct positive	Gene KO	ArgonneLBMedia	peg.1303	rxn01476		Correct positive	Gene KO	ArgonneLBMedia	peg.1303	rxn01476
Correct positive	Gene KO	ArgonneLBMedia	peg.1304	rxn01819		Correct positive	Gene KO	ArgonneLBMedia	peg.1304	rxn01819		Correct positive	Gene KO	ArgonneLBMedia	peg.1304	rxn01819
Correct positive	Gene KO	ArgonneLBMedia	peg.1306	"rxn03991,rxn03990"		Correct positive	Gene KO	ArgonneLBMedia	peg.1306	"rxn03991,rxn03990"		Correct positive	Gene KO	ArgonneLBMedia	peg.1306	"rxn03991,rxn03990"
Correct positive	Gene KO	ArgonneLBMedia	peg.1313	rxn00691		Correct positive	Gene KO	ArgonneLBMedia	peg.1313	rxn00691		Correct positive	Gene KO	ArgonneLBMedia	peg.1313	rxn00691
Correct positive	Gene KO	ArgonneLBMedia	peg.1314			Correct positive	Gene KO	ArgonneLBMedia	peg.1314			Correct positive	Gene KO	ArgonneLBMedia	peg.1314	
Correct positive	Gene KO	ArgonneLBMedia	peg.1315	rxn02373		Correct positive	Gene KO	ArgonneLBMedia	peg.1315	rxn02373		Correct positive	Gene KO	ArgonneLBMedia	peg.1315	rxn02373
Correct positive	Gene KO	ArgonneLBMedia	peg.1319	rxn01225		Correct positive	Gene KO	ArgonneLBMedia	peg.1319	rxn01225		Correct positive	Gene KO	ArgonneLBMedia	peg.1319	rxn01225
Correct positive	Gene KO	ArgonneLBMedia	peg.1320			Correct positive	Gene KO	ArgonneLBMedia	peg.1320			Correct positive	Gene KO	ArgonneLBMedia	peg.1320	
Correct positive	Gene KO	ArgonneLBMedia	peg.1323	rxn05177		Correct positive	Gene KO	ArgonneLBMedia	peg.1323	rxn05177		Correct positive	Gene KO	ArgonneLBMedia	peg.1323	rxn05177
Correct positive	Gene KO	ArgonneLBMedia	peg.1324	rxn05177		Correct positive	Gene KO	ArgonneLBMedia	peg.1324	rxn05177		Correct positive	Gene KO	ArgonneLBMedia	peg.1324	rxn05177
Correct positive	Gene KO	ArgonneLBMedia	peg.1325	rxn05177		Correct positive	Gene KO	ArgonneLBMedia	peg.1325	rxn05177		Correct positive	Gene KO	ArgonneLBMedia	peg.1325	rxn05177
Correct positive	Gene KO	ArgonneLBMedia	peg.1326	rxn05177		Correct positive	Gene KO	ArgonneLBMedia	peg.1326	rxn05177		Correct positive	Gene KO	ArgonneLBMedia	peg.1326	rxn05177
Correct positive	Gene KO	ArgonneLBMedia	peg.1332			Correct positive	Gene KO	ArgonneLBMedia	peg.1332			Correct positive	Gene KO	ArgonneLBMedia	peg.1332	
False negative	Gene KO	ArgonneLBMedia	peg.1337	"rxn10283,rxn10286,rxn10288,rxn10281,rxn10280,rxn10285,rxn10287,rxn10282,rxn10284"		False negative	Gene KO	ArgonneLBMedia	peg.1337	"rxn10283,rxn10286,rxn10288,rxn10281,rxn10280,rxn10285,rxn10287,rxn10282,rxn10284"		False negative	Gene KO	ArgonneLBMedia	peg.1337	"rxn10283,rxn10286,rxn10288,rxn10281,rxn10280,rxn10285,rxn10287,rxn10282,rxn10284"
Correct positive	Gene KO	ArgonneLBMedia	peg.1342			Correct positive	Gene KO	ArgonneLBMedia	peg.1342			Correct positive	Gene KO	ArgonneLBMedia	peg.1342	
Correct positive	Gene KO	ArgonneLBMedia	peg.1352			Correct positive	Gene KO	ArgonneLBMedia	peg.1352			Correct positive	Gene KO	ArgonneLBMedia	peg.1352	
Correct positive	Gene KO	ArgonneLBMedia	peg.1357	rxn03057		Correct positive	Gene KO	ArgonneLBMedia	peg.1357	rxn03057		Correct positive	Gene KO	ArgonneLBMedia	peg.1357	rxn03057
Correct positive	Gene KO	ArgonneLBMedia	peg.1358	rxn02894		Correct positive	Gene KO	ArgonneLBMedia	peg.1358	rxn02894		Correct positive	Gene KO	ArgonneLBMedia	peg.1358	rxn02894
Correct positive	Gene KO	ArgonneLBMedia	peg.1359	"rxn02222,rxn02275,rxn01843,rxn03869,rxn00231,rxn03839"		Correct positive	Gene KO	ArgonneLBMedia	peg.1359	"rxn02222,rxn02275,rxn01843,rxn03869,rxn00231,rxn03839"		Correct positive	Gene KO	ArgonneLBMedia	peg.1359	"rxn02222,rxn02275,rxn01843,rxn03869,rxn00231,rxn03839"
Correct positive	Gene KO	ArgonneLBMedia	peg.1360	rxn05108		Correct positive	Gene KO	ArgonneLBMedia	peg.1360	rxn05108		Correct positive	Gene KO	ArgonneLBMedia	peg.1360	rxn05108
Correct positive	Gene KO	ArgonneLBMedia	peg.1361	rxn05105		Correct positive	Gene KO	ArgonneLBMedia	peg.1361	rxn05105		Correct positive	Gene KO	ArgonneLBMedia	peg.1361	rxn05105
Correct positive	Gene KO	ArgonneLBMedia	peg.1362	rxn05106		Correct positive	Gene KO	ArgonneLBMedia	peg.1362	rxn05106		Correct positive	Gene KO	ArgonneLBMedia	peg.1362	rxn05106
Correct positive	Gene KO	ArgonneLBMedia	peg.1363	rxn05104		Correct positive	Gene KO	ArgonneLBMedia	peg.1363	rxn05104		Correct positive	Gene KO	ArgonneLBMedia	peg.1363	rxn05104
Correct positive	Gene KO	ArgonneLBMedia	peg.1364	"rxn05092,rxn05091"		Correct positive	Gene KO	ArgonneLBMedia	peg.1364	"rxn05092,rxn05091"		Correct positive	Gene KO	ArgonneLBMedia	peg.1364	"rxn05092,rxn05091"
Correct positive	Gene KO	ArgonneLBMedia	peg.1387			Correct positive	Gene KO	ArgonneLBMedia	peg.1387			Correct positive	Gene KO	ArgonneLBMedia	peg.1387	
Correct positive	Gene KO	ArgonneLBMedia	peg.1391			Correct positive	Gene KO	ArgonneLBMedia	peg.1391			Correct positive	Gene KO	ArgonneLBMedia	peg.1391	
Correct positive	Gene KO	ArgonneLBMedia	peg.1392	"rxn05569,rxn05226,rxn05560,rxn05485,rxn05647,rxn02005,rxn05610,rxn05655,rxn05617,rxn05607,rxn05501"		Correct positive	Gene KO	ArgonneLBMedia	peg.1392	"rxn05569,rxn05226,rxn05560,rxn05485,rxn05647,rxn02005,rxn05610,rxn05655,rxn05617,rxn05607,rxn05501"		Correct positive	Gene KO	ArgonneLBMedia	peg.1392	"rxn05569,rxn05226,rxn05560,rxn05485,rxn05647,rxn02005,rxn05610,rxn05655,rxn05617,rxn05607,rxn05501"
Correct positive	Gene KO	ArgonneLBMedia	peg.1393	"rxn05569,rxn05226,rxn05485,rxn05647,rxn02005,rxn05610,rxn05655,rxn05617,rxn05607,rxn05501"		Correct positive	Gene KO	ArgonneLBMedia	peg.1393	"rxn05569,rxn05226,rxn05485,rxn05647,rxn02005,rxn05610,rxn05655,rxn05617,rxn05607,rxn05501"		Correct positive	Gene KO	ArgonneLBMedia	peg.1393	"rxn05569,rxn05226,rxn05485,rxn05647,rxn02005,rxn05610,rxn05655,rxn05617,rxn05607,rxn05501"
Correct positive	Gene KO	ArgonneLBMedia	peg.1395	"rxn04454,rxn04712"		Correct positive	Gene KO	ArgonneLBMedia	peg.1395	"rxn04454,rxn04712"		Correct positive	Gene KO	ArgonneLBMedia	peg.1395	"rxn04454,rxn04712"
Correct positive	Gene KO	ArgonneLBMedia	peg.1398	"rxn01281,rxn01280"		Correct positive	Gene KO	ArgonneLBMedia	peg.1398	"rxn01281,rxn01280"		Correct positive	Gene KO	ArgonneLBMedia	peg.1398	"rxn01281,rxn01280"
Correct positive	Gene KO	ArgonneLBMedia	peg.14			Correct positive	Gene KO	ArgonneLBMedia	peg.14			Correct positive	Gene KO	ArgonneLBMedia	peg.14	
Correct positive	Gene KO	ArgonneLBMedia	peg.1402			Correct positive	Gene KO	ArgonneLBMedia	peg.1402			Correct positive	Gene KO	ArgonneLBMedia	peg.1402	
Correct positive	Gene KO	ArgonneLBMedia	peg.1423			Correct positive	Gene KO	ArgonneLBMedia	peg.1423			Correct positive	Gene KO	ArgonneLBMedia	peg.1423	
Correct positive	Gene KO	ArgonneLBMedia	peg.1441	rxn01492		Correct positive	Gene KO	ArgonneLBMedia	peg.1441	rxn01492		Correct positive	Gene KO	ArgonneLBMedia	peg.1441	rxn01492
Correct positive	Gene KO	ArgonneLBMedia	peg.1442			Correct positive	Gene KO	ArgonneLBMedia	peg.1442			Correct positive	Gene KO	ArgonneLBMedia	peg.1442	
Correct positive	Gene KO	ArgonneLBMedia	peg.1446			Correct positive	Gene KO	ArgonneLBMedia	peg.1446			Correct positive	Gene KO	ArgonneLBMedia	peg.1446	
Correct positive	Gene KO	ArgonneLBMedia	peg.1453			Correct positive	Gene KO	ArgonneLBMedia	peg.1453			Correct positive	Gene KO	ArgonneLBMedia	peg.1453	
Correct positive	Gene KO	ArgonneLBMedia	peg.1454			Correct positive	Gene KO	ArgonneLBMedia	peg.1454			Correct positive	Gene KO	ArgonneLBMedia	peg.1454	
Correct positive	Gene KO	ArgonneLBMedia	peg.1458			Correct positive	Gene KO	ArgonneLBMedia	peg.1458			Correct positive	Gene KO	ArgonneLBMedia	peg.1458	
Correct positive	Gene KO	ArgonneLBMedia	peg.1461	rxn02342		Correct positive	Gene KO	ArgonneLBMedia	peg.1461	rxn02342		Correct positive	Gene KO	ArgonneLBMedia	peg.1461	rxn02342
Correct positive	Gene KO	ArgonneLBMedia	peg.1462	rxn01871		Correct positive	Gene KO	ArgonneLBMedia	peg.1462	rxn01871		Correct positive	Gene KO	ArgonneLBMedia	peg.1462	rxn01871
Correct positive	Gene KO	ArgonneLBMedia	peg.1463			Correct positive	Gene KO	ArgonneLBMedia	peg.1463			Correct positive	Gene KO	ArgonneLBMedia	peg.1463	
Correct positive	Gene KO	ArgonneLBMedia	peg.1465			Correct positive	Gene KO	ArgonneLBMedia	peg.1465			Correct positive	Gene KO	ArgonneLBMedia	peg.1465	
Correct positive	Gene KO	ArgonneLBMedia	peg.1469	"rxn00883,rxn00881,rxn00882"		Correct positive	Gene KO	ArgonneLBMedia	peg.1469	"rxn00883,rxn00881,rxn00882"		Correct positive	Gene KO	ArgonneLBMedia	peg.1469	"rxn00883,rxn00881,rxn00882"
Correct positive	Gene KO	ArgonneLBMedia	peg.1485			Correct positive	Gene KO	ArgonneLBMedia	peg.1485			Correct positive	Gene KO	ArgonneLBMedia	peg.1485	
Correct positive	Gene KO	ArgonneLBMedia	peg.1488	rxn00250		Correct positive	Gene KO	ArgonneLBMedia	peg.1488	rxn00250		Correct positive	Gene KO	ArgonneLBMedia	peg.1488	rxn00250
Correct positive	Gene KO	ArgonneLBMedia	peg.1489	rxn10048		Correct positive	Gene KO	ArgonneLBMedia	peg.1489	rxn10048		Correct positive	Gene KO	ArgonneLBMedia	peg.1489	rxn10048
Correct positive	Gene KO	ArgonneLBMedia	peg.1490			Correct positive	Gene KO	ArgonneLBMedia	peg.1490			Correct positive	Gene KO	ArgonneLBMedia	peg.1490	
Correct positive	Gene KO	ArgonneLBMedia	peg.1491	rxn10043		Correct positive	Gene KO	ArgonneLBMedia	peg.1491	rxn10043		Correct positive	Gene KO	ArgonneLBMedia	peg.1491	rxn10043
Correct positive	Gene KO	ArgonneLBMedia	peg.1492	rxn10043		Correct positive	Gene KO	ArgonneLBMedia	peg.1492	rxn10043		Correct positive	Gene KO	ArgonneLBMedia	peg.1492	rxn10043
Correct positive	Gene KO	ArgonneLBMedia	peg.1493	rxn10043		Correct positive	Gene KO	ArgonneLBMedia	peg.1493	rxn10043		Correct positive	Gene KO	ArgonneLBMedia	peg.1493	rxn10043
Correct positive	Gene KO	ArgonneLBMedia	peg.1494	rxn10043		Correct positive	Gene KO	ArgonneLBMedia	peg.1494	rxn10043		Correct positive	Gene KO	ArgonneLBMedia	peg.1494	rxn10043
Correct positive	Gene KO	ArgonneLBMedia	peg.15			Correct positive	Gene KO	ArgonneLBMedia	peg.15			Correct positive	Gene KO	ArgonneLBMedia	peg.15	
False negative	Gene KO	ArgonneLBMedia	peg.1504	rxn02175		False negative	Gene KO	ArgonneLBMedia	peg.1504	rxn02175		False negative	Gene KO	ArgonneLBMedia	peg.1504	rxn02175
Correct positive	Gene KO	ArgonneLBMedia	peg.1513			Correct positive	Gene KO	ArgonneLBMedia	peg.1513			Correct positive	Gene KO	ArgonneLBMedia	peg.1513	
Correct positive	Gene KO	ArgonneLBMedia	peg.153			Correct positive	Gene KO	ArgonneLBMedia	peg.153			Correct positive	Gene KO	ArgonneLBMedia	peg.153	
Correct positive	Gene KO	ArgonneLBMedia	peg.1537			Correct positive	Gene KO	ArgonneLBMedia	peg.1537			Correct positive	Gene KO	ArgonneLBMedia	peg.1537	
